Bureau of Justice Statistics,,,,,,,
filename:  cv0579.csv,,,,,,,
"Table 79. Percent of victimizations in which victims received hospital care, by selected characteristics of victims and type of crime",,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,
produced by:  Cathy Maston ,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,
data of version:  12/08/06,,,,,,,

"Table 79. Personal crimes of violence, 2005: Percent of victimizations in which victims received hospital care, by selected characteristics of victims and type of crime",,,,,,,
,,Percent of victimizations,,,,,
Characteristic,,Crime of violence/a,,Robbery,,Assault,
Gender,,,,,,,
                                                                                      ,Both genders,6.3,%,9.3,%,5.4,%
,Male,6,,8.2,,5.7,
,Female,6.7,,12.4,*,4.9,
Age,,,,,,,
, 12-19,6,,6.2,*,4.4,
,20-34,7,,7.3,*,6.7,
,35-49,5.6,,13.7,*,4.4,
,50-64,5.7,*,10.6,*,5.3,*
,65 and over,9.6,*,28.8,*,3.7,*
Race/b,,,,,,,
,White only,5.3,,8.6,,4.4,
,Black only,10.6,,8.9,*,10.9,
Victim-offender relationship,,,,,,,
,Strangers,6.8,,9.8,,5.8,
,Nonstrangers,5.8,,7.4,*,4.9,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,
"a/Includes data on rape and sexual assault, not shown separately.",,,,,,,
"b/Excludes data on persons of ""Other"" races and persons indicating two or more races.",,,,,,,
