Bureau of Justice Statistics,,,,,,,,,,,,,,
filename:  cv0546.csv,,,,,,,,,,,,,,
"Table 46. Percent distribution of multiple-offender victimizations, by type of crime and perceived race of offenders",,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,

"Table 46. Personal crimes of violence, 2005:  Percent distribution of multiple-offender victimizations, by type of crime and perceived race of offenders",,,,,,,,,,,,,,
                                                                                                                Not known  ,,,Percent of all multiple-offender victimizations,,,,,,,,,,,
                                                                                                       Mixed      or not   ,,,,,Perceived race of offenders,,,,,,,,,
Type of crime,Number of multiple-offender victimizations,,Total,,All white,,All black,,All other,,Mixed races,,Not known and not available,
Crimes of violence,"1,056,740",,100,%,28.8,%,33.9,%,9.5,%,19.1,%,8.7,%
   Completed violence,"419,330",,100,,16.7,,43.8,,10.1,,20.5,,8.9,
   Attempted/threatened violence,"637,400",,100,,36.7,,27.4,,9.1,,18.2,,8.5,
   Rape/Sexual assault/a,"28,350",*,100,*,8.6,*,30.1,*,9.2,*,42.6,*,9.5,*
   Robbery,"261,320",,100,,14.1,,55.6,,9.3,*,15.4,,5.6,*
      Completed/property taken,"188,760",,100,,9.8,*,58.4,,7.5,*,18.9,*,5.4,*
         With injury,"95,410",,100,,15.6,*,41.2,,10.8,*,26,*,6.3,*
         Without injury,"93,340",,100,,3.9,*,76,,4.2,*,11.5,*,4.4,*
      Attempted to take property,"72,560",,100,,25.3,*,48.1,*,13.9,*,6.5,*,6.3,*
         With injury,"27,610",*,100,*,0,*,70.1,*,13.5,*,0,*,16.5,*
         Without injury,"44,940",,100,,40.8,*,34.6,*,14.1,*,10.5,*,0,*
   Assault,"767,060",,100,,34.5,,26.7,,9.6,,19.5,,9.7,
      Aggravated,"281,250",,100,,38.8,,19.3,,14.3,,15.9,,11.7,*
      Simple,"485,800",,100,,32.1,,30.9,,6.9,*,21.7,,8.5,
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,
"Excludes data on persons of ""Other"" races and persons indicating two or more races.",,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,,,,,,,
