Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
filename:  cv0509.csv,,,,,,,,,,,,,,,,,
"Table 9. Victimization rates for persons age 12 and over, by race and age of victims and type of crime",,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,

"Table 9. Personal crimes, 2005:  Victimization rates for persons age 12 and over, by race and age of victims and type of crime",,,,,,,,,,,,,,,,,
,,,,,,,,"Rate per 1,000 persons in each age group",,,,,,,,,
Race and age,,Total population,,Crime of violence,,Completed violence,,Attempted/threatened violence,,Rape/Sexual assault/a,,Total,,With Injury,,Without Injury,
White only,,,,,,,,,,,,,,,,,
, 12-15,"13,082,800",,39.9,,11.7,,28.2,,1,*,2.8,,0.8,*,2,*
                                                                                                                                              ,16-19,"12,788,770",,42.3,,13.9,,28.4,,2.7,*,5.4,,2,*,3.4,
                                                                                                                                              ,20-24,"16,207,550",,49,,14.4,,34.6,,1.2,*,5.8,,1.8,*,4,
                                                                                                                                              ,25-34,"31,335,920",,22.4,,6.7,,15.8,,0.3,*,2.4,,0.7,*,1.7,
                                                                                                                                              ,35-49,"53,731,450",,17.4,,5.2,,12.1,,0.6,*,1.8,,0.7,,1.1,
                                                                                                                                              ,50-64,"42,433,220",,10.6,,2.4,,8.2,,0.3,*,1.4,,0.7,*,0.7,*
                                and over                                                                                                      ,65 and over,"30,683,680",,2.4,,0.6,*,1.7,,0,*,0.7,*,0.3,*,0.4,*
Black only,,,,,,,,,,,,,,,,,
, 12-15,"2,744,230",,59.5,,25.4,,34.1,,2.6,*,8.4,*,4.5,*,3.9,*
                                                                                                                                              ,16-19,"2,566,780",,62.6,,41.1,,21.5,,7.5,*,16.6,,1.6,*,15,
                                                                                                                                              ,20-24,"2,678,460",,45.8,,19.9,,26,,0,*,6.4,*,0,*,6.4,*
                                                                                                                                              ,25-34,"5,250,410",,21.9,,10,,11.8,,2.1,*,3.9,*,0.5,*,3.4,*
                                                                                                                                              ,35-49,"8,062,610",,17.9,,6.4,,11.6,,0,*,3.2,*,1.5,*,1.7,*
                                                                                                                                              ,50-64,"5,208,800",,16.2,,6.2,*,10,,2.8,*,1.3,*,0,*,1.3,*
                                and over                                                                                                      ,65 and over,"2,966,590",,2.2,*,0,*,2.2,*,0,*,0,*,0,*,0,*
,,"Rate per 1,000 persons in each age group",,,,,,,,,,,,,,,
,,           Assault,,,,,,,,,,,,,,,
Race and age,,Total,,Aggravated,,Simple,,Purse snatching/Pocket picking,,,,,,,,,
White only,,,,,,,,,,,,,,,,,
, 12-15,36.1,,8.2,,28,,1.1,*
                                                                                                                                              ,16-19,34.2,,8.2,,26,,1.2,*
                                                                                                                                              ,20-24,42,,10.5,,31.5,,1.9,*
                                                                                                                                              ,25-34,19.7,,3.4,,16.3,,1.2,*
                                                                                                                                              ,35-49,15,,2.9,,12.1,,0.8,
                                                                                                                                              ,50-64,8.9,,2.1,,6.8,,0.6,*
                                and over                                                                                                      ,65 and over,1.7,,0.9,*,0.8,*,0.3,*
Black only,,,,,,,,,
, 12-15,48.4,,12.9,*,35.6,,2.6,*
                                                                                                                                              ,16-19,38.5,,17,,21.5,,4.2,*
                                                                                                                                              ,20-24,39.4,,9.8,*,29.6,,0,*
                                                                                                                                              ,25-34,15.9,,11.1,,4.8,*,0.6,*
                                                                                                                                              ,35-49,14.7,,4.7,,10,,2.7,*
                                                                                                                                              ,50-64,12.1,,4.7,*,7.5,,0.7,*
                                and over                                                                                                      ,65 and over,2.2,*,0,*,2.2,*,1.2,*
Note: Detail may not add to total shown because of rounding.,,,,,,,,,
"Excludes data on persons of ""Other"" races and persons indicating two or more races."
*Estimate is based on about 10 or fewer sample cases.
a/Includes verbal threats of rape and threats of sexual assault.
