Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
filename:  cv0547.csv,,,,,,,,,,,,,,,,,
"Table 47. Percent distribution of multiple-offender victimizations, by type of crime, age of victims and perceived age of offenders",,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,

"Table 47. Personal crimes of violence, 2005: Percent distribution of multiple-offender victimizations, by type of crime, age of victims and perceived age of offenders",,,,,,,,,,,,,,,,,
,,,,Percent of all multiple-offender victimizations,,,,,,,,,,,,,
,,,,,,Perceived age of offenders,,,,,,,,,,,
Type of crime and age of victim,,Number of multiple-offender victimizations,,Total,,All under 12,,All 12-20,,All 21-29,,All 30 and over,,Mixed ages,,Not known and not available,
Crimes of violence/a,,,,,,,,,,,,,,,,,
, 12-19,"411,720",,100,%,0,%*,65.8,%,2.4,%*,2.3,%*,16.1,%,13.5,%
,20-34,"378,050",,100,%,0,*,27.3,,17.8,,12.5,,33.4,,9,*
,35-49,"179,580",,100,%,0,*,18.5,*,30.3,,15.8,*,25.7,,9.7,*
,50-64,"70,740",,100,%,0,*,31.2,*,10.5,*,17.3,*,8.6,*,32.4,*
,65 and over,"16,650",*,100,%*,0,*,33.2,*,0,*,66.8,*,0,*,0,*
Robbery,,,,,,,,,,,,,,,,,
, 12-19,"81,040",,100,%,0,*,64.9,,7,*,0,*,9.2,*,19,*
,20-34,"98,700",,100,%,0,*,30.6,*,12.9,*,12,*,28.2,*,16.4,*
,35-49,"46,490",,100,%,0,*,28.3,*,27,*,6.3,*,18,*,20.4,*
,50-64,"29,570",*,100,%*,0,*,22.8,*,0,*,31,*,9.3,*,36.9,*
,65 and over,"5,520",*,100,%*,0,*,100,*,0,*,0,*,0,*,0,*
Assault,,,,,,,,,,,,,,,,,
, 12-19,"315,510",,100,%,0,*,64.4,,1.3,*,2.9,*,18.6,,12.7,
,20-34,"266,160",,100,%,0,*,25.5,,18.5,,13.3,*,36.1,,6.7,*
,35-49,"133,090",,100,%,0,*,15.1,*,31.4,,19.1,*,28.4,,6,*
,50-64,"41,170",,100,%,0,*,37.2,*,18.1,*,7.5,*,8.1,*,29.2,*
,65 and over,"11,130",*,100,%*,0,*,0,*,0,*,100,*,0,*,0,*
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.
"a/Includes data on rape and sexual assault, not shown separately."
