Bureau of Justice Statistics,,,,
filename:  cv0524.csv,,,,
Table 24. Victimization rates by type of crime and number of persons in household,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,
produced by:  Cathy Maston ,,,,
authors:  Patsy Klaus and Cathy Maston,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,
data of version:  12/08/06,,,,

"Table 24. Property crimes, 2005:  Victimization rates by type of crime and number of persons in household",,,,
                                                                                           ,"Rate per 1,000 households",,,
Type of crime,One,Two-three,Four-five,Six or more
Property crimes,100.1,144.9,228.4,324.5
  Household burglary,25.9,26.8,38.4,51.1
    Completed,21.8,22.9,31.4,41.3
      Forcible entry,8.6,8.3,11.4,12.2
      Unlawful entry without force,13.1,14.5,19.9,29.1,
    Attempted forcible entry,4.1,3.9,7,9.7,
  Motor vehicle theft,5,8.5,11.5,15.3,
    Completed,3.8,7,8.5,14.1,
    Attempted,1.2,1.6,3,1.2,*
  Theft,69.1,109.6,178.4,258.1,
    Completed,66.1,106.1,171.9,246.9,
       Less than $50,22.6,32.5,52.4,74.4,
       $50 - $249,19.9,36.4,65,115.1,
       $250 or more,18.1,28,38.1,41.3,
       Amount not available,5.6,9.2,16.4,16.1,
     Attempted,3,3.5,6.5,11.2,
Total number of households,"32,379,430","58,840,510","22,126,310","3,764,550",
Note: Detail may not add to total shown because of rounding.,,,,,
Excludes data on households where the number of persons was not ascertained.,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,
