Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
filename:  cv0573.csv,,,,,,,,,,,,,,,,,
Table 73. Percent distribution of victimizations in which self-protective measures taken by the victim were helpful,,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,

"Table 73. Personal crimes of violence, 2005: Percent distribution of victimizations in which self-protective measures taken by the victim were helpful",,,,,,,,,,,,,,,,,
,,Percent of victimizations,,,,,,,,,,,,,,,
Type of crime,Number of victimizations, Total,,Avoided injury or greater injury,,Scared offender off,,Escaped,,Protected property,,Protected other people,,In other ways,,Not available,
Crimes of violence,"3,477,850",100,%,43.2,%,18.1,%,17.2,%,6.5,%,7.8,%,6.7,%,0.4,%*
   Rape/Sexual assault/a,"144,920",100,,38.1,,30.4,,23.1,*,8.4,*,0,*,0,*,0,*
   Robbery,"450,570",100,,37.3,,25.5,,19.5,,10.9,,2.1,*,3.5,*,1.2,*
   Assault,"2,882,360",100,,44.4,,16.4,,16.6,,5.7,,9.1,,7.5,,0.3,*
      Aggravated,"741,930",100,,46.5,,14.6,,16.4,,8.1,,9.5,,4.9,*,0,*
      Simple,"2,140,430",100,,43.7,,17,,16.7,,4.9,,8.9,,8.4,,0.4,*
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,,,,
Excludes victimizations in which no self-protective actions were taken.,,,,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,,,,,,,,,,
