Bureau of Justice Statistics,,,,,
filename:  cv0501.csv,,,,,
"Table 1. Number, percent distribution, and rate of victimizations, by type of crime",,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,
produced by:  Cathy Maston ,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,
data of version:  12/08/06,,,,,

"Table 1. Personal and property crimes, 2005:  Number, percent distribution, and rate of victimizations, by type of crime",,,,,
Type of crime,Number of victimizations,,Percent of all victimizations,,"Rate per 1,000 persons or households"
All crimes,"23,440,720",,100,%,         ...
Personal crimes,"5,400,790",,23,%,22.1
Crimes of violence,"5,173,720",,22.1,,21.2
   Completed violence,"1,658,660",,7.1,,6.8
   Attempted/threatened violence,"3,515,060",,15,,14.4
   Rape/Sexual assault,"191,670",,0.8,,0.8
      Rape/Attempted rape,"130,140",,0.6,,0.5
         Rape,"69,370",,0.3,,0.3
         Attempted rape/a,"60,770",,0.3,,0.2
      Sexual assault/b,"61,530",,0.3,,0.3
   Robbery,"624,850",,2.7,,2.6
      Completed/property taken,"415,320",,1.8,,1.7
         With injury,"142,830",,0.6,,0.6
         Without injury,"272,490",,1.2,,1.1
      Attempted to take property,"209,530",,0.9,,0.9
         With injury,"64,450",,0.3,,0.3
         Without injury,"145,090",,0.6,,0.6
   Assault,"4,357,190",,18.6,,17.8
      Aggravated,"1,052,260",,4.5,,4.3
         With injury,"330,730",,1.4,,1.4
         Threatened with weapon,"721,530",,3.1,,3
      Simple,"3,304,930",,14.1,,13.5,
         With minor injury,"795,240",,3.4,,3.3,
         Without injury,"2,509,690",,10.7,,10.3,
Purse snatching/Pocket picking,"227,070",,1,,0.9,
   Completed purse snatching,"43,550",,0.2,,0.2,
   Attempted purse snatching,"3,260",*,0,*,0,*
   Pocket picking,"180,260",,0.8,,0.7,
Total population age 12 and over,"244,493,430",,...,,...,
Property crimes,"18,039,930",,77,%,154,
Household burglary,"3,456,220",,14.7,,29.5,
   Completed,"2,900,460",,12.4,,24.8,
      Forcible entry,"1,068,430",,4.6,,9.1,
      Unlawful entry without force,"1,832,030",,7.8,,15.6,
   Attempted forcible entry,"555,760",,2.4,,4.7,
Motor vehicle theft,"978,120",,4.2,,8.4,
   Completed,"774,650",,3.3,,6.6,
   Attempted,"203,470",,0.9,,1.7
Theft,"13,605,590",,58,,116.2
   Completed,"13,116,270",,56,,112
      Less than $50,"4,079,120",,17.4,,34.8
      $50 - $249,"4,656,120",,19.9,,39.8
      $250 or more,"3,231,440",,13.8,,27.6
      Amount not available,"1,149,590",,4.9,,9.8
   Attempted,"489,320",,2.1,,4.2
Total number of households,"117,110,800",,           ...,,           ...
Note: Detail may not add to total shown because of rounding.,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,
Percent distribution is based on unrounded figures.,,,,,
...Not applicable.,,,,,
a/Includes verbal threats of rape.,,,,,
b/Includes threats.,,,,,
