Bureau of Justice Statistics,,,,,,,,,,,,,,,,
filename:  cv05108.csv,,,,,,,,,,,,,,,,
"Table 108. Percent distribution of incidents, by police activity during initial contact with victim and type of crime",,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,

"Table 108. Personal and property crimes, 2005: Percent distribution of incidents, by police activity during initial contact with victim and type of crime",,,,,,,,,,,,,,,,
,Percent of incidents,,,,,,,,,,,,,,,
Type of crime, Total,,Took report,,Looked around,,Took evidence,,Questioned witnesses/suspects,,Promised surveillance,,Promised to investigate,,Made arrest,
Crimes of violence/a,100,%,37.2,%,9,%,3.2,%,20.3,%,2.3,%,6.3,%,10.3,%
   Robbery,100,%,43.2,,14.8,,5.6,*,13.4,,2.6,*,6.8,*,4.7,*
   Aggravated assault,100,%,33.6,,11.1,,4.8,,20.7,,2.6,*,7,,12.5,
   Simple assault,100,%,37.6,,6.2,,1.3,*,23.2,,2,,5.2,,10.4,
Purse snatching/Pocket picking,100,%,44.1,,15.6,*,5.2,*,11.7,*,0,*,11.3,*,4,*
Property crimes,100,%,49,%,18.6,%,7.8,%,5.3,%,3.3,%,8.6,%,1.2,%
   Household burglary,100,%,43.1,,25.1,,10.2,,4.6,,3.5,,7.8,,0.6,*
   Motor vehicle theft,100,%,56.1,,13.4,,4.8,,4,,2.2,*,12.9,,1.5,*
   Theft,100,%,51.5,,15.2,,6.8,,6,,3.4,,8.4,,1.6,
Type of crime,Other actions,,Don't know,, Not applicable,,,,,,,,,,,
Crimes of violence/a,9.3,%,0.5,%*,1.5,%,,,,,,,,,,
   Robbery,6.4,*,0,*,2.5,*,,,,,,,,,,
   Aggravated assault,6.1,,0.6,*,1,*,,,,,,,,,,
   Simple assault,11.9,,0.7,*,1.5,*,,,,,,,,,,
Purse snatching/Pocket picking,8,*,0,*,0,*,,,,,,,,,,
Property crimes,3.6,%,0.8,%,1.8,%,,,,,,,,,,
   Household burglary,3.5,,0.6,*,1,*,,,,,,,,,,
   Motor vehicle theft,1.7,*,0.8,*,2.5,*,,,,,,,,,,
   Theft,4.1,,0.9,,2.2,,,,,,,,,,,
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.
"a/Crimes of violence includes data on rape and sexual assault, not shown separately."
