Bureau of Justice Statistics,,,,,,,,
filename:  cv0507.csv,,,,,,,,
"Table 7. Number of victimizations and victimization rates for persons age 12 and over, by type of crime and ethnicity of victims",,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,
produced by:  Cathy Maston ,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,
data of version:  12/08/06,,,,,,,,

"Table 7. Personal crimes, 2005:  Number of victimizations and victimization rates for persons age 12 and over, by type of crime and ethnicity of victims",,,,,,,,
,"              Rate per 1,000 persons age 12 and over",,,,,,,
,               Total/a,,Hispanic,,,,Non-Hispanic,
Type of crime,Number,Rate,Number,,Rate,,Number,Rate
All personal crimes,"5,400,790",22.1,"827,070",,26,,"4,550,170",21.5
Crimes of violence,"5,173,720",21.2,"794,690",,25,,"4,355,470",20.6
   Completed violence,"1,658,660",6.8,"251,400",,7.9,,"1,395,010",6.6
   Attempted/threatened violence,"3,515,060",14.4,"543,290",,17.1,,"2,960,460",14
   Rape/Sexual assault,"191,670",0.8,"35,980",*,1.1,*,"155,690",0.7
      Rape/Attempted rape,"130,140",0.5,"28,040",*,0.9,*,"102,100",0.5
         Rape,"69,370",0.3,"4,740",*,0.1,*,"64,630",0.3
         Attempted rape/b,"60,770",0.2,"23,300",*,0.7,*,"37,470",0.2
      Sexual assault/c,"61,530",0.3,"7,930",*,0.2,*,"53,600",0.3
   Robbery,"624,850",2.6,"126,890",,4,,"497,960",2.4
      Completed/property taken,"415,320",1.7,"101,060",,3.2,,"314,260",1.5
         With injury,"142,830",0.6,"45,870",,1.4,,"96,960",0.5
         Without injury,"272,490",1.1,"55,190",,1.7,,"217,300",1
      Attempted to take property,"209,530",0.9,"25,830",*,0.8,*,"183,710",0.9
         With injury,"64,450",0.3,"11,240",*,0.4,*,"53,200",0.3
         Without injury,"145,090",0.6,"14,580",*,0.5,*,"130,500",0.6
   Assault,"4,357,190",17.8,"631,830",,19.9,,"3,701,820",17.5
      Aggravated,"1,052,260",4.3,"186,480",,5.9,,"863,350",4.1
         With injury,"330,730",1.4,"57,660",,1.8,,"273,070",1.3
         Threatened with weapon,"721,530",3,"128,820",,4,,"590,280",2.8
      Simple,"3,304,930",13.5,"445,350",,14,,"2,838,470",13.4
         With minor injury,"795,240",3.3,"82,440",,2.6,,"700,550",3.3
         Without injury,"2,509,690",10.3,"362,910",,11.4,,"2,137,910",10.1
  Purse snatching/Pocket picking,"227,070",0.9,"32,370",*,1,*,"194,700",0.9
Population age 12 and over,"244,493,430",...,"31,812,270",,...,,"211,629,880",...
Note: Detail may not add to total shown because of rounding.,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,
...Not applicable.,,,,,,,,
"a/Includes data on persons whose ethnicity was not ascertained, which are not shown separately.",,,,,,,,
b/Includes verbal threats of rape.,,,,,,,,
c/Includes threats.,,,,,,,,
