Bureau of Justice Statistics,,,,,,,,,,,,
filename:  cv0567.csv,,,,,,,,,,,,
Table 67. Percent distribution of violent crime victimizations by who was first to use or threaten to use physical force,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,

"Table 67. Personal crimes of violence, 2005: Percent distribution of violent crime victimizations by who was first to use or threaten to use physical force",,,,,,,,,,,,
,Percent of victimizations,,,,,,,,,,,
Type of crime,Total crimes using force,,Respondent was first to use force,,Offender was first to use force,,Someone else was first to use force,,Don't know who was first to use force,, Not available,
Crimes of violence,100,%,9.4,%,82,%,2.6,%*,1.6,%*,4.4,%*
   Rape/Sexual assault/a,100,*,0,*,84.6,*,0,*,0,*,15.4,*
   Robbery,100,,6.8,*,89.3,,0,*,0,*,3.9,*
   Assault,100,,10.3,,80.5,,3.2,*,1.9,*,4,*
      Aggravated,100,,4.3,*,93.7,,2.1,*,0,*,0,*
      Simple,100,,12.3,,76.2,,3.6,*,2.6,*,5.3,*
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,,,,,
