Bureau of Justice Statistics,,,,,,,,,,
filename:  cv0591.csv,,,,,,,,,,
"Table 91. Percent distribution of victimizations, by type of crime and whether or not reported to the police",,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,

"Table 91. Personal and property crimes, 2005: Percent distribution of victimizations, by type of crime and whether or not reported to the police",,,,,,,,,,
                                                                                          ,,,Percent of victimizations reported to the police,,,,,,,
Sector and type of crime,Number of victimizations,, Total,,  Yes/a,,  No,,Not known and not available,
All crimes,"23,440,720",%,100,%,41.3,%,57.4,%,1.3,%
Personal crimes,"5,400,790",,100,%,46.9,%,51.3,%,1.8,%
Crimes of violence,"5,173,720",,100,,47.4,,50.7,,1.8,
   Completed violence,"1,658,660",,100,,61.5,,37.4,,1.1,*
   Attempted/threatened violence,"3,515,060",,100,,40.8,,57,,2.1,
   Rape/Sexual assault,"191,670",,100,,38.3,,61.7,,0,*
      Rape/Attempted rape,"130,140",,100,,42.1,,57.9,,0,*
         Rape,"69,370",,100,,45.2,*,54.8,,0,*
         Attempted rape/b,"60,770",,100,,38.7,*,61.3,,0,*
      Sexual assault/c,"61,530",,100,,30.2,*,69.8,,0,*
   Robbery,"624,850",,100,,52.4,,46.9,,0.7,*
      Completed/property taken,"415,320",,100,,60.5,,38.5,,1,*
         With injury,"142,830",,100,,73.8,,26.2,,0,*
         Without injury,"272,490",,100,,53.6,,44.9,,1.5,*
      Attempted to take property,"209,530",,100,,36.4,,63.6,,0,*
         With injury,"64,450",,100,,39.6,*,60.4,,0,*
         Without injury,"145,090",,100,,35,,65,,0,*
   Assault,"4,357,190",,100,,47.1,,50.8,,2.1,
      Aggravated,"1,052,260",,100,,62.4,,36.6,,1,*
         With injury,"330,730",,100,,76.2,,23.8,,0,*
         Threatened with weapon,"721,530",,100,,56,,42.5,,1.5,*
      Simple,"3,304,930",,100,,42.3,,55.3,,2.4,
         With minor injury,"795,240",,100,,59,,39.2,,1.8,*
         Without injury,"2,509,690",,100,,37,,60.4,,2.6,
Purse snatching/Pocket picking,"227,070",,100,,35.2,,63.6,,1.2,*
   Completed purse snatching,"43,550",,100,,51.2,*,48.8,*,0,*
   Attempted purse snatching,"3,260",*,100,*,0,*,100,*,0,*
   Pocket picking,"180,260",,100,,32,,66.5,,1.5,*
Property crimes,"18,039,930",,100,%,39.6,%,59.3,%,1.1,%
Household burglary,"3,456,220",,100,,56.3,,42.6,,1.1,
   Completed,"2,900,460",,100,,57.1,,41.9,,0.9,*
      Forcible entry,"1,068,430",,100,,74.7,,24.7,,0.5,*
      Unlawful entry without force,"1,832,030",,100,,46.9,,52,,1.2,*
   Attempted forcible entry,"555,760",,100,,51.7,,46.2,,2.1,*
Motor vehicle theft,"978,120",,100,,83.2,,15.9,,0.8,*
   Completed,"774,650",,100,,92.4,,7.1,,0.4,*
   Attempted,"203,470",,100,,48.2,,49.4,,2.3,*
Theft,"13,605,590",,100,,32.3,,66.6,,1.1,
   Completed,"13,116,270",,100,,32,,66.9,,1.1,
      Less than $50,"4,079,120",,100,,18.6,,80.5,,0.9,*
      $50 - $249,"4,656,120",,100,,27.6,,71.5,,0.9,
      $250 or more,"3,231,440",,100,,52.7,,46.2,,1.1,*
      Amount not available,"1,149,590",,100,,39,,58.3,,2.7,*
   Attempted,"489,320",,100,,38.6,,59.5,,1.8,*
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,
"a/Figures in this column represent the rates at which victimizations were reported to the police, or ""police reporting rates.""",,,,,,,,,,
b/Includes verbal threats of rape.,,,,,,,,,,
c/Includes threats.,,,,,,,,,,
