Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
filename:  cv0510.csv,,,,,,,,,,,,,,,,,
"Table 10. Number of victimizations and victimization rates for persons age 12 and over, by race, gender, and age of victims and type of crime",,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,

"Table 10. Violent crimes, 2005:  Number of victimizations and victimization rates for persons age 12 and over, by race, gender, and age of victims and type of crime",,,,,,,,,,,,,,,,,
              ,,,"Rate per 1,000 persons in each age group",,,,,,,,,,,,,,
,,,   Crimes of violence/a,,,,Robbery,,,,Aggravated Assault,,,,Simple assault,,
"Race, gender, and age",,Total population,Number,,Rate,,Number,,Rate,,Number,,Rate,,Number,,Rate
White only,,,,,,,,,,,,,,,,,
Male,,,,,,,,,,,,,,,,,
, 12-15,"6,702,090","335,520",,50.1,,"19,640",*,2.9,*,"84,170",,12.6,,"231,710",,34.6
                                                                          ,16-19,"6,525,180","355,260",,54.4,,"57,370",,8.8,,"84,210",,12.9,,"206,660",,31.7,
                                                                          ,20-24,"8,316,230","539,540",,64.9,,"73,490",,8.8,,"130,630",,15.7,,"335,420",,40.3,
                                                                          ,25-34,"15,903,200","393,230",,24.7,,"46,590",,2.9,,"64,140",,4,,"282,510",,17.8,
                                                                          ,35-49,"26,845,900","483,400",,18,,"66,290",,2.5,,"87,840",,3.3,,"323,850",,12.1,
                                                                          ,50-64,"20,799,270","270,610",,13,,"43,410",,2.1,,"46,960",,2.3,,"180,240",,8.7,
,65 and over,"13,146,140","42,190",,3.2,,"13,800",*,1,*,"22,420",*,1.7,*,"5,970",*,0.5,*
Female,,,,,,,,,,,,,,,,,,
, 12-15,"6,380,710","186,580",,29.2,,"17,440",*,2.7,*,"22,480",*,3.5,*,"133,980",,21,
                                                                          ,16-19,"6,263,590","185,720",,29.7,,"11,900",*,1.9,*,"20,350",*,3.2,*,"126,220",,20.2,
                                                                          ,20-24,"7,891,320","254,580",,32.3,,"20,920",*,2.7,*,"38,810",,4.9,,"175,130",,22.2,
                                                                          ,25-34,"15,432,730","309,920",,20.1,,"27,400",*,1.8,*,"42,130",,2.7,,"229,470",,14.9,
                                                                          ,35-49,"26,885,550","449,140",,16.7,,"27,760",*,1,*,"66,610",,2.5,,"326,860",,12.2,
                                                                          ,50-64,"21,633,960","179,430",,8.3,,"14,790",*,0.7,*,"42,450",,2,,"108,170",,5,
                                     and                                    ,65 and over,"17,537,540","30,790",*,1.8,*,"6,230",*,0.4,*,"4,740",*,0.3,*,"19,820",*,1.1,*
Black only,,,,,,,,,,,,,,,,,,
Male,,,,,,,,,,,,,,,,,,
, 12-15,"1,423,280","90,900",,63.9,,"17,080",*,12,*,"21,520",*,15.1,*,"52,300",,36.7,
,16-19,"1,279,320","95,320",,74.5,,"37,750",,29.5,,"20,840",*,16.3,*,"36,730",,28.7,
                                                                          ,20-24,"1,199,560","54,800",,45.7,,"9,240",*,7.7,*,"4,900",*,4.1,*,"40,670",,33.9,
                                                                          ,25-34,"2,390,860","55,750",,23.3,,"17,610",*,7.4,*,"26,510",*,11.1,*,"8,930",*,3.7,*
                                                                          ,35-49,"3,658,110","80,430",,22,,"13,030",*,3.6,*,"30,240",*,8.3,*,"37,160",,10.2,
                                                                          ,50-64,"2,334,400","39,960",,17.1,,"3,610",*,1.5,*,"18,220",*,7.8,*,"18,130",*,7.8,*
,65 and over,"1,137,310","6,400",*,5.6,*,0,*,0,*,0,*,0,*,"6,400",*,5.6,*
Female,,,,,,,,,,,,,,,,,,
, 12-15,"1,320,950","72,300",,54.7,,"6,010",*,4.5,*,"13,750",*,10.4,*,"45,300",,34.3,
                                                                          ,16-19,"1,287,460","65,370",,50.8,,"4,890",*,3.8,*,"22,820",*,17.7,*,"18,380",*,14.3,*
                                                                          ,20-24,"1,478,900","67,920",,45.9,,"8,010",*,5.4,*,"21,400",*,14.5,*,"38,510",,26,
                                                                          ,25-34,"2,859,550","59,080",,20.7,,"2,670",*,0.9,*,"31,750",*,11.1,*,"16,410",*,5.7,*
                                                                          ,35-49,"4,404,500","63,950",,14.5,,"13,160",*,3,*,"7,530",*,1.7,*,"43,260",,9.8,
,50-64,"2,874,400","44,620",,15.5,,"3,250",*,1.1,*,"6,020",*,2.1,*,"20,840",*,7.3,*
,65 and over,"1,829,280",0,*,0,*,0,*,0,*,0,*,0,*,0,*,0,*
"Note: Excludes data on persons of ""Other"" races and persons indicating two or more races.",,,,,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.
"a/Includes data on rape and sexual assault, not shown separately."



































0
