Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
filename:  cv0574.csv,,,,,,,,,,,,,,,,,
Table 74. Percent distribution of victimizations in which self-protective measures taken by the victim were harmful,,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,

"Table 74. Personal crimes of violence, 2005: Percent distribution of victimizations in which self-protective measures taken by the victim were harmful",,,,,,,,,,,,,,,,,
,,Percent of victimizations,,,,,,,,,,,,,,,
Type of crime,Number of victimizations, Total,,"Made offender angrier, more aggressive",,Led to injury or greater injury,,Caused greater property damage,,Caused other to get hurt,,Let offender get away,,Made situation worse in other ways,,Not available,
Crimes of violence/a,"608,560",100,%,65.5,%,14.1,%,0.7,%*,4.9,%*,2,%*,11.7,%,1.1,%*
   Robbery,"43,320",100,,45.7,*,40.3,*,0,*,8,*,0,*,5.9,*,0,*
   Assault,"526,340",100,,66.7,,11.9,,0.8,*,5,*,2.3,*,12.5,,0.8,*
      Aggravated,"101,720",100,,69.5,,9.7,*,0,*,11.4,*,0,*,9.4,*,0,*
      Simple,"424,620",100,,66,,12.4,,1,*,3.4,*,2.8,*,13.2,,1,*
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,,,,
Excludes victimizations in which no self-protective actions were taken.,,,,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,,,,,
"a/Includes data on rape and sexual assault, not shown separately.",,,,,,,,,,,,,,,,,
