Bureau of Justice Statistics,,,,
filename:  cv0588.csv,,,,
"Table 88. Percent of victimizations resulting in loss of time from work, by type of crime and race of victims",,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,
produced by:  Cathy Maston ,,,,
authors:  Patsy Klaus and Cathy Maston,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,
data of version:  12/08/06,,,,

"Table 88. Selected personal and property crimes, 2005: Percent of victimizations resulting in loss of time from work, by type of crime and race of victims",,,,
,Percent of all victimizations,,,
Type of crime,White only,,Black only,
All personal crimes/a,7.9,%,9.2,%
Crimes of violence,7.9,,9.8,
   Completed violence,15.3,,16.3,
   Attempted/threatened violence,4.9,,4.3,*
   Rape/Sexual assault/b,12.8,*,12.8,*
   Robbery,10.4,,10,*
   Assault,7.5,,9.4,
All property crimes,5.5,%,5.3,%
   Completed,5.7,,5.5,
   Attempted,2.7,*,2.2,*
   Household burglary,7.5,,6.6,*
   Motor vehicle theft                     ,19.3,,14.9,*
   Theft,4.2,,3.6,
Note: Excludes data on persons with races other than White only or Black only.,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,
"a/Includes data on purse snatching/pocket picking, not shown separately.",,,,
b/Includes verbal threats of rape and threats of sexual assault.,,,,












































































































































,,,,,,,,,,,,,,,,,"42,240",,8.8,,,,
,,,,,,,,,,,,,,,,,"343,090",b%,7.8,,"55,660",b%,6.3
,,,,,,,,,,,,,,,,,"330,710",,7.8,,"55,660",,6.7
,,,,,,,,,,,,,,,,,"198,570",,16.4,,"31,210",*,9.7
,,,,,,,,,,,,,,,,,"132,140",,4.3,,"24,450",*,4.8
,,,,,,,,,,,,,,,,,"25,770",*,16.1,,0,*,0
,,,,,,,,,,,,,,,,,"55,850",,15,,"20,050",*,11.9
,,,,,,,,,,,,,,,,,"249,090",,6.7,,"35,610",,5.6
,,,,,,,,,,,,,,,,,"885,390",b%,5.9,,"198,730",b%,7.5
,,,,,,,,,,,,,,,,,"819,800",,5.8,,"186,540",,7.7
,,,,,,,,,,,,,,,,,"65,590",,6.4,,"12,190",*,5
,,,,,,,,,,,,,,,,,"143,920",,5.4,,"55,390",,10.2
,,,,,,,,,,,,,,,,,"162,890",,22,,"45,100",,21.1
,,,,,,,,,,,,,,,,,"578,580",,5,,"98,240",,5.2
