Bureau of Justice Statistics,,,,,,,,,,,,,,,
filename:  cv0556.csv,,,,,,,,,,,,,,,
"Table 56. Victimization rates by type of crime, form of tenure, race of head of household, and locality of residence",,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,

"Table 56. Property crimes, 2005:  Victimization rates by type of crime, form of tenure, race of head of household, and locality of residence",,,,,,,,,,,,,,,
,"Rate per 1,000 households",,,,,,,,,,,,,,
,Owned or being bought,,,,,,,,,,,,,,
,All races/a,,,,,,,,White only,,,,,,
Type of crime,All areas,,Urban,,Suburban,,Rural,,All areas,,Urban,,Suburban,,Rural
Property crimes,136.5,,181,,132.4,,107.6,,138.3,,190.7,,134.3,,109.4
  Household burglary,25.3,,34.2,,22,,24.6,,24.9,,31.6,,22.9,,24.2
    Completed,21.3,,27.2,,18.8,,21.2,,21,,25.2,,19.5,,20.8,
      Forcible entry,7.3,,11.7,,5.8,,6.7,,6.7,,9.6,,5.7,,6.6,
      Unlawful entry without force,14,,15.6,,13.1,,14.5,,14.3,,15.5,,13.9,,14.3,
    Attempted forcible entry,4,,6.9,,3.2,,3.4,,3.9,,6.4,,3.3,,3.4,
  Motor vehicle theft,6.1,,9.9,,6.2,,2.8,,5.5,,10,,5.4,,2.6,
    Completed,4.7,,7.5,,4.8,,2,,4,,6.9,,4.1,,1.7,*
    Attempted,1.4,,2.4,,1.4,,0.8,*,1.6,,3.1,,1.4,,0.9,*
  Theft,105.1,,137,,104.2,,80.2,,107.9,,149.2,,106,,82.6,
    Completed,101.1,,130.1,,100,,79.2,,104,,142,,101.9,,81.5,
       Less than $50,32.3,,41.4,,31.3,,27,,33.8,,47.1,,32.2,,27.5,
       $50 - $249,34.4,,48.1,,32.3,,27,,35.3,,53,,32.7,,28.2,
       $250 or more,23.8,,27.4,,25.4,,17.7,,24,,28.5,,25.4,,17.9,
       Amount not available,10.6,,13.2,,11,,7.5,,10.9,,13.4,,11.6,,7.8,
     Attempted,4,,6.9,,4.2,,1.1,*,3.9,,7.2,,4,,1.2,*
