Bureau of Justice Statistics,,,,,,,,,,,,,,,
filename:  cv0559.csv,,,,,,,,,,,,,,,
"Table 59. Percent distribution of incidents, by type of crime and time of occurrence",,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,

"Table 59. Personal and property crimes, 2005: Percent distribution of incidents, by type of crime and time of occurrence",,,,,,,,,,,,,,,
                                                                                      ,,Percent of incidents,,,,,,,,,,,,,
,,,,,,Nighttime,,,,,,,,,
Type of crime, Number of incidents,Total,,Daytime 6 a.m.- 6 p.m.,,  Total,,6 p.m. - midnight,,Midnight - 6 a.m.,,Not known,,Not known and not available,
Crimes of violence,"4,718,330",100,%,52.6,%,45.9,%,34.5,%,10.1,%,1.3,%,1.5,%
   Completed violence,"1,536,990",100,,41.5,,56.9,,40.2,,15.6,,1.1,*,1.7,*
   Attempted/threatened violence,"3,181,340",100,,58,,40.6,,31.8,,7.5,,1.3,,1.5,
   Rape/Sexual assault/a,"188,960",100,,35.4,,61.8,,24.9,,35.2,,1.6,*,2.9,*
   Robbery,"569,470",100,,38.6,,57.8,,40.8,,15.2,,1.9,*,3.5,*
      Completed/property taken,"381,070",100,,34.8,,59.9,,42.9,,16.9,,0,*,5.3,*
         With injury,"126,440",100,,35.1,,62.2,,39.4,,22.8,*,0,*,2.7,*
         Without injury,"254,640",100,,34.7,,58.7,,44.7,,14,*,0,*,6.6,*
      Attempted to take property,"188,400",100,,46.3,,53.7,,36.4,,11.6,*,5.7,*,0,*
         With injury,"62,230",100,,24,*,76,,53.5,*,5.3,*,17.2,*,0,*
         Without injury,"126,170",100,,57.3,,42.7,,28,*,14.7,*,0,*,0,*
   Assault,"3,959,900",100,,55.4,,43.4,,34.1,,8.2,,1.2,,1.2,
      Aggravated,"926,060",100,,48,,51.3,,37.6,,12.5,,1.2,*,0.7,*
      Simple,"3,033,840",100,,57.7,,41,,33,,6.9,,1.1,*,1.3,
Purse snatching/Pocket picking,"227,070",100,,62.3,,35.8,,25.6,,8.7,*,1.4,*,1.9,*
Property crimes,"18,039,930",100,%,36,%,43.8,%,14,%,16.5,%,13.4,%,20.2,%
   Household burglary,"3,456,220",100,,37.7,,34,,12.4,,12.9,,8.7,,28.2,
      Completed,"2,900,460",100,,38.9,,31.8,,10.7,,12,,9.2,,29.2,
         Forcible entry,"1,068,430",100,,44.6,,32.6,,11.6,,13,,7.9,,22.8,
         Unlawful entry without force,"1,832,030",100,,35.6,,31.4,,10.1,,11.4,,9.9,,33,
      Attempted forcible entry,"555,760",100,,31.6,,45.5,,21.7,,17.3,,6.5,*,22.9,
   Motor vehicle theft,"978,120",100,,22.5,,67.7,,18.2,,34.4,,15.1,,9.8,
      Completed,"774,650",100,,23.9,,65.4,,16.1,,34,,15.3,,10.8,
      Attempted,"203,470",100,,17.1,*,76.7,,26.3,,35.8,,14.6,*,6.2,*
   Theft,"13,605,590",100,,36.5,,44.6,,14,,16.1,,14.4,,18.9,
      Completed,"13,116,270",100,,36.8,,44,,14,,15.5,,14.4,,19.3,
         Less than $50,"4,079,120",100,,38.1,,39.6,,10.9,,14.4,,14.3,,22.3,
         $50 - $249,"4,656,120",100,,38,,43.6,,15.5,,14.1,,13.9,,18.4,
         $250 or more,"3,231,440",100,,32.8,,51.4,,15.3,,20.3,,15.9,,15.8,
         Amount not available,"1,149,590",100,,38.3,,40,,15.2,,12.2,,12.5,,21.7,
      Attempted,"489,320",100,,29.8,,61.1,,15,,30.8,,15.2,,9.2,
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,,,,,,,,
