Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cv05102.csv,,,,,,,,,,,,,
"Table 102. Percent of reasons for not reporting victimizations to the police, by type of crime",,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,

"Table 102. Personal and property crimes, 2005: Percent of reasons for not reporting victimizations to the police, by type of crime",,,,,,,,,,,,,
,,,Percent of reasons for not reporting,,,,,,,,,,
Type of crime,Number of reasons for not reporting, Total,,Reported to another official,,Private or personal matter,,Object recovered; offender unsuccessful,,Not important enough,,Insurance would not cover,
All personal crimes,"3,447,480",100,%,13,%,19.8,%,20.1,%,6.4,%,0.1,%*
Crimes of violence,"3,271,670",100,,13.2,,20.3,,20.1,,6.4,,0.1,*
   Completed violence,"828,580",100,,11.4,,15.7,,11.9,,3.8,*,0,*
   Attempted/threatened violence,"2,443,100",100,,13.8,,21.9,,22.8,,7.3,,0.1,*
   Rape/Sexual assault/a,"142,410",100,,18.2,*,22,*,3.7,*,0,*,0,*
   Robbery,"392,510",100,,2.3,*,13.3,,21.1,,0,*,0,*
      Completed/property taken,"229,230",100,,1.4,*,9.8,*,18.5,,0,*,0,*
         With injury,"60,390",100,,0,*,0,*,11.3,*,0,*,0,*
         Without injury,"168,840",100,,1.9,*,13.4,*,21.1,*,0,*,0,*
      Attempted to take property,"163,280",100,,3.6,*,18.2,*,24.8,,0,*,0,*
         With injury,"38,960",100,,7.7,*,27.5,*,9.7,*,0,*,0,*
         Without injury,"124,320",100,,2.3,*,15.3,*,29.5,,0,*,0,*
   Assault,"2,736,760",100,,14.5,,21.3,,20.8,,7.6,,0.1,*
      Aggravated,"497,490",100,,7.5,,23.9,,24.9,,7.3,*,0,*
      Simple,"2,239,270",100,,16.1,,20.7,,19.9,,7.7,,0.1,*
Purse snatching/Pocket picking,"175,810",100,,9.6,*,10.6,*,21.5,,6.1,*,0,*
All property crimes,"14,073,950",100,%,8.6,%,5.1,%,26.7,%,3.9,%,3,%
Household burglary,"2,023,280",100,,4.2,,4.2,,20.2,,5.5,,4.6,
   Completed,"1,710,040",100,,3.9,,5,,18.2,,3.9,,4.9,
      Forcible entry,"381,430",100,,2.7,*,4.1,*,9.5,*,2.3,*,6.6,*
      Unlawful entry without force,"1,328,610",100,,4.3,,5.3,,20.7,,4.3,,4.4,
   Attempted forcible entry,"313,240",100,,5.8,*,0,*,31.5,,14.5,,2.9,*
Motor vehicle theft,"211,600",100,,1.3,*,9.5,*,31.2,,0,*,5.5,*
   Completed,"81,870",100,,0,*,20,*,6.3,*,0,*,6.8,*
   Attempted,"129,730",100,,2.2,*,2.9,*,46.9,,0,*,4.6,*
Theft,"11,839,070",100,,9.5,,5.2,,27.8,,3.7,,2.7,
   Completed,"11,455,860",100,,9.7,,5.2,,27.3,,3.7,,2.7,
   Attempted,"383,210",100,,4.9,*,3.4,*,42.6,,5.7,*,2.8,*
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,
Some respondents may have cited more than one reason for not reporting victimizations to the police.,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,,,,,,
