Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
filename:  cv0539.csv,,,,,,,,,,,,,,,,,,,
"Table 39. Percent distribution of single-offender victimizations, by type of crime and perceived age of offender",,,,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,,,

"Table 39. Personal crimes of violence, 2005:  Percent distribution of single-offender victimizations, by type of crime and perceived age of offender",,,,,,,,,,,,,,,,,,,
,,Percent of single-offender victimizations,,,,,,,,,,,,,,,,,
,,,,Perceived age of offender,,,,,,,,,,,,,,,
,,,,,, 12-20,,,,,,,,,,,,,
Type of crime,Number of single-offender victimizations,  Total,,Under 12,,  Total,, 12-14,,15-17,,18-20,,21-29,, 30 and over,,Not known and not available,
Crimes of violence,"3,984,020",100,%,1.3,%,28,%,8.4,%,11.2,%,8.4,%,25,%,39.2,%,6.6,%
   Completed violence,"1,197,090",100,,1.9,*,29.4,,8.1,,12.1,,9.2,,26.7,,36.8,,5.2,
   Attempted/threatened violence,"2,786,920",100,,1,*,27.4,,8.6,,10.8,,8,,24.2,,40.2,,7.1,
   Rape/Sexual assault/a,"160,270",100,,0,*,26.3,,0,*,11.1,*,15.1,*,25.6,,44.8,,3.3,*
   Robbery,"343,980",100,,1.9,*,28.8,,2.3,*,14,,12.6,,34,,23.2,,12.1,
      Completed/property taken,"210,480",100,,1.6,*,25.6,,3.7,*,7.6,*,14.3,*,37.1,,24.7,,11,*
         With injury,"41,690",100,,0,*,21.1,*,0,*,15.8,*,5.3,*,43.3,*,25.8,*,9.8,*
         Without injury,"168,790",100,,1.9,*,26.7,,4.7,*,5.6,*,16.5,*,35.6,,24.4,,11.4,*
      Attempted to take property,"133,490",100,,2.3,*,33.9,,0,*,24,*,9.8,*,29.1,,20.8,*,13.9,*
         With injury,"36,830",100,,0,*,10.2,*,0,*,10.2,*,0,*,62.5,*,27.2,*,0,*
         Without injury,"96,660",100,,3.2,*,42.9,,0,*,29.3,*,13.6,*,16.4,*,18.3,*,19.2,*
   Assault,"3,479,770",100,,1.3,,28,,9.4,,10.9,,7.7,,24,,40.5,,6.2,
      Aggravated,"739,380",100,,1.3,*,29.2,,7.8,,12.5,,9,,29.7,,33.1,,6.7,
      Simple,"2,740,380",100,,1.3,*,27.7,,9.9,,10.5,,7.3,,22.5,,42.5,,6,
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,,,,,,,,,,,,
