Bureau of Justice Statistics,,,,,,,
filename:  cv0508.csv,,,,,,,
"Table 8. Victimization rates for persons age 12 and over, by type of crime and ethnicity and gender of victims",,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,
produced by:  Cathy Maston ,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,
data of version:  12/08/06,,,,,,,

"Table 8. Personal crimes, 2005:  Victimization rates for persons age 12 and over, by type of crime and ethnicity and gender of victims",,,,,,,
                                                                                                                   ,"Rate per 1,000 persons age 12 and over",,,,,,
,         Hispanic,,,,         Non-Hispanic,,
Type of crime,Male,,         Female,,Male,,         Female
Crimes of violence,28.2,,21.6,,25.1,,16.4
   Completed violence,10,,5.7,,7.9,,5.4
   Attempted violence,18.2,,15.9,,17.2,,11
   Rape/Sexual assault/a,0.8,*,1.5,*,0,*,1.4,
   Robbery,5.6,,2.3,,3.5,,1.2,
      Completed/property taken,4.4,,1.9,*,2,,1,
         With injury,2.3,,0.6,*,0.5,,0.4,
         Without injury,2.1,*,1.3,*,1.5,,0.6,
      Attempted to take property,1.2,*,0.5,*,1.5,,0.2,*
         With injury,0.7,*,0,*,0.5,,0,*
         Without injury,0.5,*,0.5,*,1,,0.2,*
   Assault,21.9,,17.8,,21.5,,13.7,
      Aggravated,6.6,,5.1,,5.5,,2.8,
         With injury,2.1,*,1.5,*,1.7,,0.9,
         Threatened with weapon,4.5,,3.6,,3.7,,1.9,
      Simple,15.3,,12.7,,16,,11,
         With minor injury,3.5,,1.7,*,4.1,,2.6,
         Without injury,11.8,,11,,11.9,,8.4,
Purse snatching/Pocket picking,1.1,*,1,*,0.8,,1,
Total population age 12 and over,"16,122,710",,"15,689,570",,"102,340,840",,"109,289,040"
Note: Detail may not add to total shown because of rounding.,,,,,,,
Excludes data on persons whose ethnicity was not ascertained.,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,
