Bureau of Justice Statistics,,,,,,,,,,,,,,,
filename:  cv0557.csv,,,,,,,,,,,,,,,
"Table 57. Victimization rates for persons age 12 and over, by type of crime, region and locality of residence",,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,

"Table 57. Personal crimes, 2005: Victimization rates for persons age 12 and over, by type of crime, region and locality of residence",,,,,,,,,,,,,,,
                                                                                           ,"Rate per 1,000 persons age 12 and over",,,,,,,,,,,,,,
,All regions,,,,,,,,Northeast,,,,,,
Type of crime,All areas,,Urban ,,Suburban,,Rural,,All areas,,Urban ,,Suburban,,Rural
Personal crimes,22.1,,31.4,,19.1,,17.3,,20.2,,26.6,,15.7,,23
  Crimes of violence,21.2,,29.8,,18.6,,16.4,,19.3,,25.7,,15,,21.7
    Completed violence,6.8,,11,,5.2,,5,,6.5,,10.8,,4.2,,6
    Attempted/threatened violence,14.4,,18.8,,13.3,,11.4,,12.8,,14.8,,10.8,,15.7,
    Rape/Sexual assault/a,0.8,,1.5,,0.7,,0.1,*,0.6,*,1.4,*,0.4,*,0,*
    Robbery,2.6,,4.7,,1.9,,1.4,,2.4,,3.4,,1.6,,2.8,*
      Completed/property taken,1.7,,3.4,,1.2,,0.8,,1.5,,2.2,*,1.1,*,1.9,*
        With injury,0.6,,1.1,,0.4,,0.3,*,0.5,*,0.7,*,0.4,*,0,*
        Without injury,1.1,,2.3,,0.8,,0.4,*,1.1,,1.4,*,0.6,*,1.9,*
      Attempted to take property,0.9,,1.3,,0.7,,0.7,,0.8,,1.2,*,0.6,*,1,*
        With injury,0.3,,0.5,*,0.1,*,0.3,*,0.3,*,0.6,*,0.2,*,0,*
        Without injury,0.6,,0.8,,0.6,,0.4,*,0.6,*,0.6,*,0.4,*,1,*
    Assault,17.8,,23.6,,16,,14.9,,16.3,,20.8,,13,,18.9,
      Aggravated,4.3,,6,,3.6,,3.8,,3.6,,7,,2.1,,2.4,*
        With injury,1.4,,2.3,,1,,1,,1.5,,3,,0.9,*,0.6,*
        Threatened with weapon,3,,3.7,,2.6,,2.9,,2.1,,4,,1.2,*,1.8,*
      Simple,13.5,,17.6,,12.4,,11,,12.7,,13.8,,10.9,,16.5,
        With minor injury,3.3,,4.1,,2.8,,3.2,,3.1,,4.6,,2.1,,3.5,*
        Without injury,10.3,,13.4,,9.6,,7.9,,9.6,,9.2,,8.8,,13,
