Bureau of Justice Statistics,,,,,,,,,,,
filename:  cv05105.csv,,,,,,,,,,,
"Table 105. Percent of reasons for not reporting victimizations to the police, by race of head of household and type of crime",,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,

"Table 105. Property crimes, 2005: Percent of reasons for not reporting victimizations to the police, by race of head of household and type of crime",,,,,,,,,,,
,,,,Percent of reasons for not reporting,,,,,,,
Race and reason for not reporting,,All property crimes,,Total,,Household Burglary,,Motor vehicle theft,, Theft,
White only,,,,,,,,,,,
,Total,"11,811,600",,100,%,100,%,100,%,100,%
,Reported to another official,"987,330",,8.4,,3.5,,1.7,*,9.3,
,Private or personal matter,"595,960",,5,,4.2,,12,*,5.1,
,Object recovered; offender unsuccessful,"3,272,940",,27.7,,21.5,,32.2,,28.7,
,Not important enough,"483,130",,4.1,,6,,0,*,3.8,
,Insurance would not cover,"362,040",,3.1,,4.4,,6.9,*,2.8,
,Not aware crime occurred until later,"652,560",,5.5,,6.8,,6,*,5.3,
,Unable to recover property; no ID no.,"853,640",,7.2,,8.4,,2.9,*,7.1,
,Lack of proof,"1,544,830",,13.1,,17,,7.7,*,12.5,
,Police would not want to be bothered,"1,017,780",,8.6,,8.2,,6.3,*,8.7,
,"Police inefficient, ineffective, or biased","342,110",,2.9,,5,,4.8,*,2.5,
,Fear of reprisal,"74,730",,0.6,,0.7,*,5.5,*,0.5,
,Too inconvenient or time consuming,"442,770",,3.7,,3.1,,1.3,*,3.9,
,Other reasons,"1,181,780",,10,,11.3,,12.7,*,9.7,
Black only,,,,,,,,,,       ,
,Total,"1,477,890",,100,%,100,%,100,%*,100,%
,Reported to another official,"163,370",,11.1,,6.3,*,0,*,12.2,
,Private or personal matter,"93,970",,6.4,,4.6,*,0,*,6.8,
,Object recovered; offender unsuccessful,"274,320",,18.6,,13.5,*,14.9,*,19.7,
,Not important enough,"43,810",,3,,3.9,*,0,*,2.8,*
,Insurance would not cover,"43,360",,2.9,,4.7,*,0,*,2.6,*
,Not aware crime occurred until later,"90,470",,6.1,,10.6,*,0,*,5.3,
,Unable to recover property; no ID no.,"134,910",,9.1,,7.3,*,0,*,9.7,
,Lack of proof,"199,130",,13.5,,17.1,,0,*,12.9,
,Police would not want to be bothered,"129,320",,8.8,,4.6,*,0,*,9.8,
,"Police inefficient, ineffective, or biased","54,160",,3.7,,3.7,*,10.8,*,3.5,
,Fear of reprisal,"7,630",*,0.5,*,1.4,*,0,*,0.3,*
,Too inconvenient or time consuming,"49,370",,3.3,,4.1,*,33.9,*,2.7,*
,Other reasons,"194,060",,13.1,,18.1,,40.5,*,11.6,
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,
"Excludes data on persons of ""Other"" races and persons indicating two or more races.",,,,,,,,,,,
Some respondents may have cited more than one reason for not reporting victimizations to the police.,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,
