Bureau of Justice Statistics,,,,,,,,,,,,,,
filename:  cv0599.csv,,,,,,,,,,,,,,
"Table 99. Percent of victimizations reported to the police, by type of crime and annual family income",,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,

"Table 99. Property crimes, 2005: Percent of victimizations reported to the police, by type of crime and annual family income",,,,,,,,,,,,,,
,Percent of victimizations reported to the police,,,,,,,,,,,,,
Type of crime,"Less than $7,500",,"$7,500-$14,999",,"$15,000-$24,999",,"$25,000-$34,999",,"$35,000-$49,999",,"$50,000-$74,999",,"$75,000 or more",
Property crimes,36.8,%,40.8,%,37.2,%,40.1,%,39.6,%,38.5,%,40.7,%
   Household burglary,54.4,,55.9,,49.6,,55.8,,61,,65.3,,63.9,
      Completed,50.7,,56.4,,49.1,,60.6,,61.3,,68.4,,63.5,
         Forcible entry,67.2,,75.3,,66.5,,76.2,,63,,93.7,,86.1,
         Unlawful entry without force,42.3,,46.6,,39.4,,47.1,,60,,52.6,,53,
      Attempted forcible entry,72.2,*,52.1,*,52,,40.7,*,59.7,,44,*,66.9,
   Motor vehicle theft,89.5,,86.1,,78.6,,84,,80.5,,89.8,,79.6,
      Completed,94.5,*,100,,80.2,,94.5,,91,,96.9,,92.8,
      Attempted,71.6,*,19.6,*,64,*,38.3,*,20.6,*,36.1,*,50.1,*
   Theft,26,,31.1,,28.4,,32.8,,32.1,,30.6,,34.7,
      Completed,26.2,,30.1,,28.5,,32.8,,31.5,,30.2,,34.5,
         Less than $50,14.7,*,13.4,,21.3,,16.1,,17.8,,15.9,,23.7,
         $50 - $249,24.8,,32.8,,21.3,,32.8,,28.2,,24.4,,29.1,
         $250 or more,41.2,,42.9,,44.4,,51.8,,53.3,,55.6,,55.8,
         Amount not available,23.3,*,52.6,,46.3,,43.1,,42.9,,41.2,,37,
      Attempted,19.7,*,65.5,*,26,*,34.4,*,49,*,37.2,,40.1,
Note: Excludes data on persons whose family income level was not ascertained.,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,,
