Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cv0529.csv,,,,,,,,,,,,,
"Table 29. Percent of victimizations involving strangers, by gender and age of victims and type of crime",,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,

"Table 29. Personal crimes of violence, 2005:  Percent of victimizations involving strangers, by gender and age of victims and type of crime",,,,,,,,,,,,,
,,Percent of victimizations involving strangers,,,,,,,,,,,
,,,,,,,,Assault,,,,,
Gender and age,,Crimes of violence,, Rape/Sexual assault/a,,Robbery,,     Total,,Aggravated,,   Simple,
Both genders,,53.2,%,35.8,%,79.6,%,50.2,%,56.5,%,48.2,%
, 12-15,43.2,,12.7,*,82.8,,40.6,,39.3,,41,
                                                                                                                               ,16-19,57.7,,26.5,*,80.5,,55.9,,58.8,,54.8,
                                                                                                                               ,20-24,58.7,,20.6,*,87,,55.9,,67.9,,52,
                                                                                                                               ,25-34,55.6,,67.9,*,76,,52.1,,60.6,,49.4,
                                                                                                                               ,35-49,51.1,,53.8,*,71.7,,48.3,,52.8,,47.1,
                                                                                                                               ,50-64,52.5,,27.7,*,82.3,,49.8,,60.4,,46.2,
                                                                                                                               ,65 and over,48.1,,0,*,85.3,*,36.6,*,36.7,*,36.5,*
Male,,62.3,%,100,%*,87,%,57.8,%,62.4,%,56.1,%
                                                                                                                               , 12-15,49.9,,0,*,100,,45.6,,45.6,,45.6,
                                                                                                                               ,16-19,67.6,,100,*,85.6,,62.1,,73.4,,57.3,
                                                                                                                               ,20-24,63.1,,0,*,92.5,,58.4,,71.8,,53.5,
                                                                                                                               ,25-34,69.1,,100,*,91,,64.3,,68.6,,63,
                                                                                                                               ,35-49,62.7,,100,*,70.1,,61.2,,57.5,,62.3,
                                                                                                                               ,50-64,62.8,,0,*,93.8,,57,,66.2,,54,
                                                                                                                               ,65 and over,43.7,*,0,*,78.7,*,31,*,23.3,*,41.9,*
Female,,40.3,%,30.3,%,60,%,39.4,%,46.4,%,37.5,%
                                                                                                                               , 12-15,32.4,,12.7,*,55.9,*,31.7,,21.5,*,33.7,
                                                                                                                               ,16-19,41.4,,15.5,*,57.4,*,45.5,,31.3,*,50.7,
                                                                                                                               ,20-24,51.2,,20.6,*,71.1,*,51.5,,59.3,,49.5,
                                                                                                                               ,25-34,38.5,,64.5,*,30.7,*,37.3,,51.2,,32.8,
                                                                                                                               ,35-49,38.1,,45.7,*,74.5,*,34.1,,46.2,,31.4,
                                                                                                                               ,50-64,38.8,,27.7,*,49.8,*,39.6,,52.7,*,34.8,
                                                                                                                               ,65 and over,55,*,0,*,100,*,44.5,*,100,*,32.6,*
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,,,,,,
