Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
filename:  cv0569.csv,,,,,,,,,,,,,,,,,,,,,
"Table 69. Percent of victimizations in which victims took self-protective measures, by characteristics of victims and type of crime",,,,,,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,,,,,

"Table 69. Personal crimes of violence, 2005: Percent of victimizations in which victims took self-protective measures, by characteristics of victims and type of crime",,,,,,,,,,,,,,,,,,,,,
,,Percent of all victimizations,,,,,,,,,,,,,,,,,,,
Characteristic,,Crime of violence,,Completed violence,,Attempted/threatened violence,,Rape/Sexual assault/a,, Total,,With injury,,Without injury,, Total,,Aggravated,,Simple,
Gender,,,,,,,,,,,,,,,,,,,,,
,Male,66.5,%,68.6,%,65.5,%,76.8,%*,62.1,%,66.1,%,60,%,67.2,%,67.2,%,67.2,%
,Female,67.6,,66.7,,68,,82,,60.2,,39.9,*,69.3,,66.8,,69.1,,66.2,
Race/b,,,,,,,,,,,,,,,,,,,,,
,White only,67.3,,70.3,,66.1,,82,,67.9,,66.6,,68.7,,66.7,,68.5,,66.2,
,Black only,65.9,,67.1,,64.8,,80.3,,51.9,,32,*,57.8,,67.8,,68.8,,67.2,
Age,,,,,,,,,,,,,,,,,,,,,
, 12-19,63.9,,73.8,,58.1,,72,,68.8,,63.9,*,71,,62.7,,60.6,,63.4,
,20-34,70,,69.8,,70.1,,88.8,,56.5,,75.1,,50.3,,71.3,,71.7,,71.2,
,35-49,67.8,,62.4,,70.2,,85.1,*,62.1,,47.8,*,72.1,,67.9,,70.7,,67.2,
,50-64,62,,54,,64.8,,88.4,*,60.6,,49.6,*,71.3,*,60.5,,64.4,,59.1,
,65 and over,73.8,,42.3,*,83.1,,0,*,56.6,*,36,*,73.3,*,79.1,,90.5,*,70.9,*
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,,,,,,,,,
a/Includes verbal threats of rape and threats of sexual assault.,,,,,,,,,,,,,,,,,,,,,
"b/Excludes data on persons of ""Other"" races and persons indicating two or more races.",,,,,,,,,,,,,,,,,,,,,
