Bureau of Justice Statistics,,,,,,,
filename:  cv0575.csv,,,,,,,
"Table 75. Percent of victimizations in which victims sustained physical injury, by selected characteristics of victims and type of crime",,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,
produced by:  Cathy Maston ,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,
data of version:  12/08/06,,,,,,,

"Table 75. Personal robbery and assault, 2005: Percent of victimizations in which victims sustained physical injury, by selected characteristics of victims and type of crime",,,,,,,
,,Percent of all victims who sustained physical injury,,,,,
Characteristic,,Robbery and assault,,Robbery,,Assault,
Gender,,,,,,,
,Both genders,26.8,%,33.2,%,25.8,%
,Male,28.1,,34,,27,
,Female,24.8,,31,,24.2,
Age,,,,,,,
                                                                         , 12-15,29.1,,39,*,28.2,
                                                                         ,16-19,28.4,,26,*,28.9,
                                                                         ,20-34,27.1,,24.9,,27.4,
                                                                         ,35-49,26.3,,41.5,,24.3,
                                                                         ,50-64,22.6,,49.2,*,18.6,
                                                                         ,65 and over,19.9,*,45,*,12.2,*
Race/a,,,,,,,
,White only,26.2,,36.8,,24.8,
,Black only,29.9,,23,*,31.4,
Victim-offender relationship,,,,,,,
,Strangers,26.5,,36.6,,24.2,
,Nonstrangers,27.1,,19.9,*,27.5,
Income/b,,,,,,,
,"Less than $7,500",32,,44.1,*,29.7,
,"$7,500-$14,999",28.7,,30.3,*,28.4,
,"$15,000-$24,999",30.7,,63.4,,26.1
,"$25,000-$34,999",27.6,,30.9,*,27.2
,"$35,000-$49,999",27.1,,40,*,25.4
,"$50,000-$74,999",24.5,,21.3,*,24.8
,"$75,000 or more",23.3,,24,*,23.2
*Estimate is based on about 10 or fewer sample cases.,,,,,,
"a/Excludes data on persons of ""Other"" races and persons indicating two or more races.",,,,,,
b/Excludes data on persons whose family income level was not ascertained.,,,,,,
