Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cv0525.csv,,,,,,,,,,,,,
Table 25. Victimization rates by type of crime and number of units in structure occupied by household,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,

"Table 25. Property crimes, 2005:  Victimization rates by type of crime and number of units in structure occupied by household",,,,,,,,,,,,,
                                                                                                      ,"Rate per 1,000 households",,,,,,,,,,,,
Type of crime,One/a,Two,,Three,,Four,,     Five-nine,,    Ten or more,,Other than housing unit  ,
Property crimes,149.6,194.9,,134.8,,179.2,,168.7,,145.6,,319.8,
  Household burglary,29.4,33.3,,26,,44.6,,23.9,,25.2,,97.8,
    Completed,24.7,24.9,,24.5,,34.7,,20.8,,21.9,,92,
      Forcible entry,8.8,11.5,,14.4,*,22,,8.5,,7.3,,0,*
      Unlawful entry without force,15.9,13.4,,10,*,12.7,,12.3,,14.6,,92,
    Attempted forcible entry,4.8,8.5,,1.5,*,9.9,*,3.1,*,3.3,,5.7,*
  Motor vehicle theft,7,12.3,,20.7,*,14.5,,9.4,,11.4,,0,*
    Completed,5.3,8.6,,15.9,*,10.6,*,9.4,,10,,0,*
    Attempted,1.7,3.6,*,4.8,*,3.9,*,0,*,1.4,*,0,*
  Theft,113.2,149.2,,88.2,,120.1,,135.4,,109,,222,
    Completed,109,145.1,,77,,118.5,,130.8,,105.5,,222,
       Less than $50,34.4,44.1,,27.9,,38.6,,40.9,,31,,39.9,*
       $50 - $249,37.8,56.7,,22.1,,36.2,,50.9,,39.4,,90.5,
       $250 or more,25.8,35.4,,21.8,,34.1,,32.6,,29.6,,91.7,
       Amount not available,11,8.9,,5.2,*,9.5,*,6.3,,5.5,,0,*
     Attempted,4.2,4.1,*,11.2,*,1.6,*,4.6,*,3.5,,0,*
Total number of households,"84,267,270","5,691,920",,"1,685,440",,"3,282,950",,"5,957,450",,"14,570,910",,"533,260",
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,
Excludes data on households for which the number of units in the structure was not ascertained.,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,
"a/Includes data on mobile homes, not shown separately."
