Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
filename:  cv0593.csv,,,,,,,,,,,,,,,,,,
"Table 93. Percent of victimizations reported to the police, by type of crime, victim-offender relationship and gender of victims",,,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,,

"Table 93. Violent crimes, 2005: Percent of victimizations reported to the police, by type of crime, victim-offender relationship and gender of victims",,,,,,,,,,,,,,,,,,
,Percent of all victimizations reported to the police,,,,,,,,,,,,,,,,,
,All victimizations,,,,,,Involving strangers,,,,,,Involving nonstrangers,,,,,
Type of crime, Both genders,,  Male,,Female,, Both genders,,  Male,,Female,, Both genders,,  Male,,Female,
Crimes of violence,47.4,%,42.4,%,54.6,%,45.9,%,39.7,%,59.3,%,49.2,%,46.8,%,51.4,%
   Completed violence,61.5,,59,,64.9,,61.7,,56.3,,74.8,,61.2,,63.8,,59.1,
   Attempted/threatened violence,40.8,,34.5,,49.7,,38.6,,31.7,,52.9,,43.4,,39.2,,47.4,
   Rape/Sexual assault/a,38.3,,35.8,*,38.5,,56.1,,35.8,*,61.9,*,28.3,*,0,*,28.3,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Robbery,52.4,,45.9,,69.6,,47.7,,42.9,,66.1,,70.7,,65.8,,74.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Completed/property taken,60.5,,55.5,,70.6,,57.5,,53.8,,68.2,,70.3,,65,*,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         With injury,73.8,,67.7,,84.9,,70.4,,64.2,,82.4,*,100,*,100,*,100,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Without injury,53.6,,49.3,,62.4,,49,,48.2,,52.3,*,64.3,,54.9,*,70.2,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Attempted to take property,36.4,,30.9,,65.2,*,30.4,,26.6,,58,*,71.8,*,67.6,*,78.3,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         With injury,39.6,*,36.9,*,100,*,35.2,*,35.2,*,0,*,65.9,*,51.7,*,100,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Without injury,35,,27.7,*,62.2,*,28.2,*,21.9,*,58,*,74.3,*,76,*,72,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Assault,47.1,,41.8,,54.7,,45.1,,38.9,,58.2,,49.1,,45.8,,52.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Aggravated,62.4,,59.4,,67.5,,58.3,,55.4,,65.1,,67.6,,66.1,,69.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         With injury,76.2,,75,,78.4,,80.2,,77,,90.6,*,72.1,,71.7,,72.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Threatened with weapon,56,,52.2,,62.5,,49.7,,45.6,,58,,65.2,,63.3,,67.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      Simple,42.3,,35.6,,51.2,,40.2,,32.5,,55.8,,44.2,,39.6,,48.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*
         With minor injury,59,,54.4,,66,,54.8,,48.4,,69.3,,62.4,,60.8,,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
         Attempted threat without weapon,37,,29.2,,47,,35.9,,27.6,,52.2,,38,,31.5,,43.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.
a/Includes verbal threats of rape and threats of sexual assault.
