Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cv0520.csv,,,,,,,,,,,,,
Table 20. Victimization rates by type of crime and annual family income,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,

"Table 20. Property crimes, 2005: Victimization rates by type of crime and annual family income",,,,,,,,,,,,,
,"Rate per 1,000 households",,,,,,,,,,,,
Type of crime," Less than $7,500",," $7,500-$14,999",," $15,000-$24,999",," $25,000-$34,999",,"$35,000-$49,999",,"$50,000-$74,999",,"$75,000 or more"
Property crimes,200.6,,174.3,,170.4,,173.9,,159.9,,155.9,,171
  Household burglary,55.1,,46.7,,41.7,,33.4,,30.2,,23.2,,23.9
    Completed,45.8,,41.5,,33.5,,25.4,,24.4,,20.2,,20.9
      Forcible entry,15.4,,14.2,,12,,11.7,,10.4,,7.8,,6.6
      Unlawful entry without force,30.4,,27.3,,21.6,,13.6,,14,,12.4,,14.3
    Attempted forcible entry,9.4,,5.2,,8.1,,8,,5.9,,3,,2.9
  Motor vehicle theft,9.4,,9.8,,12.4,,9.9,,6.6,,7.2,,7.1
    Completed,7.4,,8.1,,11.2,,8.1,,5.6,,6.4,,4.9
    Attempted,2,*,1.7,*,1.2,*,1.9,*,1,*,0.8,*,2.2
  Theft,136,,117.8,,116.3,,130.6,,123,,125.5,,140
    Completed,132.4,,114.5,,113,,126.4,,118.7,,118.7,,134.6
       Less than $50,40.5,,38.7,,31.7,,43.3,,43.4,,36.4,,42.3
       $50 - $249,42,,42.2,,47,,40.8,,38.7,,45.8,,45.4
       $250 or more,37.2,,23.8,,25.7,,32.2,,28.9,,26.6,,31.4
       Amount not available,12.8,,9.9,,8.6,,10.2,,7.7,,9.8,,15.6
     Attempted,3.7,*,3.4,*,3.3,,4.2,,4.3,,6.8,,5.4
Total number of households,"5,099,390",,"8,611,570",,"11,648,340",,"11,100,360",,"14,111,900",,"15,538,130",,"21,484,030"
Note: Detail may not add to total shown because of rounding.,,,,,,,,,,,,,
*Estimate is based on about 10 or fewer sample cases.,,,,,,,,,,,,,
Excludes data on families whose income level was not ascertained.,,,,,,,,,,,,,
