Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
filename:  cv0541.csv,,,,,,,,,,,,,,,,,,,,
"Table 41. Percent distribution of single-offender victimizations, by type of crime, age of victims and perceived age of offender",,,,,,,,,,,,,,,,,,,,
"data source: National Criminal Victimization Survey, 2005  NCJ 215244",,,,,,,,,,,,,,,,,,,,
produced by:  Cathy Maston ,,,,,,,,,,,,,,,,,,,,
authors:  Patsy Klaus and Cathy Maston,,,,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,,,,,
data of version:  12/08/06,,,,,,,,,,,,,,,,,,,,

"Table 41. Personal crimes of violence, 2005:  Percent distribution of single-offender victimizations, by type of crime, age of victims and perceived age of offender",,,,,,,,,,,,,,,,,,,,
,,,Percent of single-offender victimizations,,,,,,,,,,,,,,,,,
,,,,,Perceived age of offender,,,,,,,,,,,,,,,
,,,,,,, 12-20,,,,,,,,,,,,,
Type of crime and age of victim,Number of single-offender victimizations,,Total,,Under 12,,Total,, 12-14,,15-17,,     18-20,,21-29,,30 and over,,Not known and not available,
Crimes of violence/a,,,,,,,,,,,,,,,,,,,,
 12-19,"1,037,560",,100,%,2.4,%*,66.2,%,27,%,24.1,%,15.1,%,12.8,%,10.6,%,7.9,%
20-34,"1,457,990",,100,%,0.6,*,17.2,,1,*,8.3,,7.9,,41.7,,35.7,,4.9,
35-49,"940,350",,100,%,1.1,*,12.7,,2.8,*,4.1,,5.8,,16.2,,61.4,,8.6,
50-64,"479,730",,100,%,1,*,11.2,,3.2,*,6.6,*,1.4,*,18.6,,63.8,,5.4,*
65 and over,"68,390",,100,%,4,*,8,*,0,*,4.2,*,3.8,*,16.5,*,68.4,,3.1,*
   Robbery,,,,,,,,,,,,,,,,,,,,
 12-19,"94,980",,100,%,3.4,*,60,,8.3,*,31.7,*,20,*,13,*,10.6,*,13,*
20-34,"122,930",,100,%,2.5,*,14.7,*,0,*,7.3,*,7.4,*,57,,12.3,*,13.5,*
35-49,"75,530",,100,%,0,*,19.9,*,0,*,3.8,*,16.2,*,16.3,*,46.7,*,17,*
50-64,"36,030",*,100,%*,0,*,25.1,*,0,*,16.9,*,8.1,*,38.2,*,36.8,*,0,*
65 and over,"14,510",*,100,%*,0,*,0,*,0,*,0,*,0,*,59.2,*,40.8,*,0,*
   Assault,,,,,,,,,,,,,,,,,,,,
 12-19,"884,280",,100,%,2.4,*,67.1,,30.8,,23.5,,12.8,,11.9,,11,,7.6,
20-34,"1,297,720",,100,%,0.5,*,17.9,,1.1,*,8.7,,8.1,,39.5,,38,,4.2,
35-49,"831,540",,100,%,1.2,*,12.3,,3.2,*,4,*,5.1,,16.9,,61.8,,7.8,
50-64,"412,340",,100,%,1.1,*,10.1,,3.7,*,5.5,*,0.9,*,18.3,,64.2,,6.3,*
65 and over,"53,890",,100,%,5.1,*,10.1,*,0,*,5.3,*,4.8,*,5,*,75.9,,3.9,*
Note: Detail may not add to total shown because of rounding.
*Estimate is based on about 10 or fewer sample cases.
"a/Includes data on rape and sexual assault, not shown separately."
