Month,2008,2009,2010,2011,2012,2013
January,"1,610","1,656","1,625","1,487","1,586","1,528"
February,"1,511","1,470","1,334","1,443","1,399","1,187"
March,"1,729","1,719","1,726","1,743","1,621","1,530"
April,"1,688","1,716","1,722","1,864","1,616","1,653"
May,"1,832","1,896","1,967","1,850","1,792","1,792"
June,"1,913","1,978","1,904","1,788","1,827","1,835"
July,"2,035","2,064","1,921","2,045","1,976","1,840"
August,"1,913","1,996","2,021","2,072","1,723","1,841"
September,"1,814","1,829","1,755","1,810","1,681","1,710"
October,"1,889","1,858","1,806","1,781","1,691","1,650"
November,"1,653","1,843","1,664","1,627","1,440","1,740"
December,"1,874","1,805","1,695","1,703","1,503","1,618"
Total,"21,461","21,830","21,140","21,213","19,855","19,924"
