Location,Number of Offenses
Air/Bus/Train Terminal ,529
Bank/Savings & Loan ,348
Bar/Night Club ,750
Church/Synagogue/Temple ,778
Commercial/Office Building ,4421
Construction Site ,1231
Convenience Store,5557
Department/Discount Store ,17657
Drug Store/Dr Office/Hospital ,1754
Field/Woods,1469
Government/Public Building,1309
Grocery/Supermarket,4818
Highway/Road/Alley,12059
Hotel/Motel/Etc.,1644
Jail/Penitentiary,27
Lake/Waterway,280
Liquor Store,1144
Parking Lot/Garage,18010
Rental/Storage Facility,460
Residence/Home,48994
Restaurant,2300
School/College,4955
Service/Gas Station,1906
Specialty Store,4439
Other/Unknown ,7652
Total,144491
