Structure,Loss Value
Single Occupancy Dwelling,"6,690,476"
Other Dwelling,"671,701"
Commercial/Business,"825,925"
Industrial/Manufacturing,"500,000"
Public/Community,"46,830"
Storage,"278,961"
Other,"238,585"
Non-Structure,
Aircraft,"20,000"
Alcohol,"15,000"
Automobiles,"871,250"
Bicycles,250
Buses,"16,400"
Clothes/Furs,"6,779"
Computer Hardware/Software,"251,200"
Consumable Goods,3
Firearms,
Heavy Construction/Indust,"9,250"
Household Goods,"14,794"
Jewelry/Precious Metals,
Merchandise,250
Money,260
Negotiable Instruments,
Office-Type Equipment,
Other Motor Vehicles,"13,000"
Purses/Handbags/Wallets,30
Radios/TVs/VCRs,50
Recordings-Audio/Visual,
Recreational Vehicles,"57,700"
Tools,20
Trucks,"92,077"
Vehicle Parts/Accessories,"32,704"
Watercraft,"1,500"
Other,"$1,368,610"
TOTAL,"$12,023,605"
