Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,1,0,0,0,2,0,0,0,1,0,8,0,1,0,1,0,12,2,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,2,0,0,0,5,1,5,0,0,0,3,0,10,1,19,0,0,0,7,1,0,0,3,0,1,0,48,0,3,0,0,0,0,0,2,0,13,1,1,0,1,0,1,0,161,6
Manslaughter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Kidnaping,7,0,2,0,4,0,0,0,14,0,23,0,1,0,0,0,1,0,0,0,2,0,1,0,6,0,9,0,1,0,27,0,12,0,10,0,0,0,16,1,11,0,4,0,0,0,62,2,70,2,0,0,20,0,0,0,37,1,3,0,64,2,8,0,3,0,2,0,14,1,57,2,1,0,11,0,3,0,506,11
"Sex Offenses, Forcible",7,0,2,0,9,0,0,0,12,0,19,3,10,1,1,0,14,0,2,1,0,0,1,0,2,1,7,1,0,2,25,7,4,2,8,0,1,0,20,1,13,1,7,0,2,0,31,3,28,4,0,0,15,4,3,1,32,3,5,0,35,6,22,1,1,0,21,0,15,1,67,29,10,1,5,0,5,0,461,73
Robbery,32,29,0,0,8,1,0,0,22,3,31,11,5,2,1,0,20,10,0,2,0,0,2,0,4,1,18,2,3,0,61,23,13,1,10,3,0,0,25,6,15,2,0,0,10,1,71,16,89,22,0,0,22,3,1,0,39,8,2,0,196,15,72,5,4,0,8,1,18,2,103,51,6,0,2,5,5,0,918,225
Aggravated Assault,49,7,8,0,16,0,0,0,29,2,120,25,18,5,7,0,31,3,8,1,11,0,2,0,9,1,42,1,6,0,99,20,9,4,46,4,1,0,33,1,27,3,2,1,16,0,210,17,126,34,1,0,60,6,1,0,109,2,14,0,368,19,189,8,12,0,11,1,52,10,105,20,33,0,4,5,10,0,1894,200
Simple Assault/Intimidation,409,59,86,8,137,11,0,0,422,12,1126,24,154,64,43,4,577,13,49,4,57,2,33,4,108,6,236,4,76,5,1030,134,252,17,232,16,12,0,725,25,258,13,46,11,164,16,1348,135,1148,46,33,2,423,23,38,4,1120,8,133,4,2127,212,1162,92,164,30,198,12,604,14,2799,489,231,11,117,6,276,20,18153,1560
Arson,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,5,20,2,8,0,0,2,1,0,0,3,0,1,0,10,3,11,1,0,0,0,0,1,0,12,15,0,0,0,0,0,0,66,49
Extortion/Blackmail,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,19,13
