Agency,Total Sworn Officers,Officers Male,Officers Female,Total Civilian,
COUNTY,,,,,
ACCOMACK COUNTY,,,,,
Sheriff's Office ,55,46,9,12,
Chincoteague PD ,10,9,1,4,
Onancock PD ,4,4,,,
Parksley PD ,2,2,,,
Onley PD ,5,5,,,
Bloxom PD ,1,1,,,
ALBEMARLE COUNTY,,,,,
Albemarle County PD ,112,96,16,26,
ALLEGHANY COUNTY,,,,,
Sheriff's Office ,43,38,5,19,
AMELIA COUNTY,,,,,
Sheriff's Office ,16,16,,8,
AMHERST COUNTY,,,,,
Sheriff's Office ,63,48,15,6,
Amherst PD ,5,5,,,
APPOMATTOX COUNTY,,,,,
Sheriff's Office ,30,25,5,3,
ARLINGTON COUNTY,,,,,
Arlington County PD ,363,295,68,77,
AUGUSTA COUNY,,,,,
Sheriff's Office ,66,62,4,11,
BATH COUNTY,,,,,
Sheriff's Office ,17,13,4,,
BEDFORD COUNTY,,,,,
Sheriff's Office ,73,67,6,8,
BLAND COUNTY,,,,,
Sheriff's Office ,11,11,,6,
BOTETOURT COUNTY,,,,,
Sheriff's Office ,92,81,11,22,
BRUNSWICK COUNTY,,,,,
Sheriff's Office ,19,19,,14,
Lawrenceville PD ,6,6,,,
BUCHANAN COUNTY,,,,,
Sheriff's Office ,33,31,2,14,
Grundy PD ,6,6,,,
BUCKINGHAM COUNTY,,,,,
Sheriff's Office ,20,19,1,8,
CAMPBELL COUNTY,,,,,
Sheriff's Office ,57,54,3,8,
Altavista PD ,13,13,,1,
Brookneal PD,,,,,
CAROLINE COUNTY,,,,,
Sheriff's Office ,48,40,8,21,
Bowling Green PD,,,,,
CARROLL COUNTY,,,,,
Sheriff's Office ,28,27,1,5,
Hillsville PD ,12,12,,1,
CHARLES CITY COUNTY,,,,,
Sheriff's Office ,9,9,,7,
CHARLOTTE COUNTY,,,,,
Sheriff's Office ,30,22,8,2,
CHESTERFIELD COUNTY,,,,,
Chesterfield County PD ,473,421,52,101,
CLARKE COUNTY,,,,,
Sheriff's Office ,17,15,2,12,
Berryville PD ,9,9,,1,
CRAIG COUNTY,,,,,
Sheriff's Office ,9,9,,5,
CULPEPER COUNTY,,,,,
Sheriff's Office ,74,62,12,17,
Culpeper PD ,38,33,5,8,
CUMBERLAND COUNTY,,,,,
Sheriff's Office ,13,11,2,7,
DICKENSON COUNTY,,,,,
Sheriff's Office ,20,19,1,12,
Clintwood PD ,4,4,,,
Haysi PD ,2,2,,,
DINWIDDIE COUNTY,,,,,
Sheriff's Office ,39,37,2,3,
ESSEX COUNTY,,,,,
Sheriff's Office ,12,10,2,7,
Tappahannock PD ,10,10,,1,
FAIRFAX COUNTY,,,,,
Fairfax County PD ,1391,1196,195,328,
Herndon PD ,54,48,6,16,
Vienna PD ,39,35,4,11,
FAUQUIER COUNTY ,,,,,
Sheriff's Office ,110,104,6,17,
Remington PD ,1,1,,,
Warrenton PD ,21,18,3,2,
FLOYD COUNTY,,,,,
Sheriff's Office ,18,16,2,10,
FLUVANNA COUNTY, ,,,,
Sheriff's Office ,27,24,3,12,
FRANKLIN COUNTY, ,,,,
Sheriff's Office ,73,64,9,18,
Rocky Mount PD ,20,19,1,2,
FREDERICK COUNTY,,,,,
Sheriff's Office ,107,97,10,17,
Middletown PD ,2,2,,,
Stephens City PD ,4,4,,,
GILES COUNTY,,,,,
Sheriff's Office ,23,23,,10,
Glen Lyn PD ,1,1,,,
Pearisburg PD ,7,7,,1,
Pembroke PD ,3,3,,,
Rich Creek PD ,1,1,,,
Narrows PD ,4,4,,,
GLOUCESTER COUNTY,,,,,
Sheriff's Office ,48,42,6,10,
GOOCHLAND COUNTY,,,,,
Sheriff's Office ,29,26,3,10,
GRAYSON COUNTY,,,,,
Sheriff's Office ,23,22,1,6,
Independence PD ,2,2,,,
GREENE COUNTY,,,,,
Sheriff's Office ,22,21,1,14,
GREENSVILLE COUNTY,,,,,
Sheriff's Office ,20,18,2,14,
HALIFAX COUNTY,,,,,
Sheriff's Office ,34,32,2,3,
Halifax PD ,4,4,,,
South Boston PD ,27,23,4,3,
HANOVER COUNTY,,,,,
Sheriff's Office ,205,191,14,18,
Ashland PD ,24,23,1,3,
HENRICO COUNTY,,,,,
Henrico County PD ,568,516,52,176,
HENRY COUNTY,,,,,
Sheriff's Office ,114,102,12,13,
HIGHLAND COUNTY,,,,,
Sheriff's Office ,7,7,,4,
ISLE OF WIGHT COUNTY,,,,,
Sheriff's Office ,38,31,7,7,
Smithfield PD ,22,21,1,4,
Windsor PD ,6,6,,,
JAMES CITY COUNTY,,,,,
James City County PD ,92,74,18,5,
KING & QUEEN COUNTY,,,,,
Sheriff's Office ,13,12,1,7,
KING GEORGE COUNTY,,,,,
Sheriff's Office ,28,24,4,14,
KING WILLIAM COUNTY6 ,,1,,,
Sheriff's Office ,21,20,1,12,
West Point PD ,9,7,2,1,
LANCASTER COUNTY,,,,,
Sheriff's Office ,29,24,5,6,
Kilmarnock PD ,5,3,2,,
White Stone PD ,1,1,,,
LEE COUNTY,,,,,
Sheriff's Office ,34,27,7,,
Jonesville PD ,2,2,,,
Pennington Gap PD ,6,6,,,
LOUDOUN COUNTY,,,,,
Sheriff's Office ,531,463,68,105,
Leesburg PD ,85,79,6,16,
Middleburg PD ,5,4,1,,
Purcellville PD ,13,12,1,1,
LOUISA COUNTY,,,,,
Sheriff's Office ,48,46,2,13,
