Offenses,Persons Arrested,,Percent Crime Distribution by Gender,
,Male,Female,Male,Female
Murder/Nonnegligent Manslaughter  ,238,39,0.23,0.09
Negligent Manslaughter,5,0,0,0
Kidnaping/Abduction,910,88,0.89,0.21
Forcible Rape  ,341,4,0.33,0.01
Forcible Sodomy,196,6,0.19,0.01
Sexual Assault with an Object,103,5,0.1,0.01
Forcible Fondling  ,603,22,0.59,0.05
Robbery,1738,204,1.69,0.49
Aggravated Assault  ,3134,1046,3.05,2.5
Simple Assault,27346,12827,26.62,30.68
Intimidation,1107,395,1.08,0.94
Arson,241,40,0.23,0.1
Extortion/Blackmail,46,18,0.04,0.04
Burglary/Breaking & Entering,4158,480,4.05,1.15
Pocket Picking  ,239,141,0.23,0.34
Purse Snatching  ,12,10,0.01,0.02
Shoplifting,6735,8698,6.56,20.8
Theft from Building,668,259,0.65,0.62
Theft from Coin-Operated Machine or Device,28,21,0.03,0.05
Theft from Motor Vehicle,446,49,0.43,0.12
Theft of Motor Vehicle Parts or Accessories,111,10,0.11,0.02
All Other Larceny  ,9702,5216,9.45,12.48
Motor Vehicle Theft  ,808,200,0.79,0.48
Counterfeiting/Forgery  ,1405,768,1.37,1.84
False Pretenses/Swindle/Confidence Game  ,2029,1116,1.98,2.67
Credit Card/Automatic Teller Machine Fraud,237,172,0.23,0.41
Impersonation,594,224,0.58,0.54
Welfare Fraud,11,59,0.01,0.14
Wire Fraud  ,1,0,0,0
Embezzlement,790,835,0.77,2
Stolen Property Offenses  ,836,164,0.81,0.39
Destruction/Damage/Vandalism of Property  ,3749,1039,3.65,2.48
Drug/Narcotic Violations  ,29646,6762,28.86,16.17
Drug Equipment Violations,282,90,0.27,0.22
Incest  ,4,1,0,0
Statutory Rape,130,7,0.13,0.02
Pornography/Obscene Material,193,21,0.19,0.05
Betting/Wagering,48,5,0.05,0.01
Operating/Promoting/Assisting Gambling,14,3,0.01,0.01
Gambling Equipment Violations  ,3,0,0,0
Sports Tampering  ,0,0,0,0
Prostitution  ,146,331,0.14,0.79
Assisting or Promoting Prostitution  ,203,107,0.2,0.26
Bribery,6,3,0.01,0.01
Weapon Law Violations  ,3476,326,3.38,0.78
TOTAL,102718,41811,100,100
