Offenses,Number of Arrests,Percent Distribution,"Rate per 100,000 Inhabitants"
Murder/Nonnegligent Manslaughter  ,277,0.19,3.42
Negligent Manslaughter,5,0,0.06
Kidnaping/Abduction  ,998,0.69,12.33
Forcible Rape,345,0.24,4.26
Forcible Sodomy  ,202,0.14,2.49
Sexual Assault with an Object,108,0.07,1.33
Forcible Fondling of a Child  ,625,0.43,7.72
Robbery,1942,1.34,23.99
Aggravated Assault  ,4180,2.89,51.63
Simple Assault  ,40173,27.8,496.17
Intimidation  ,1502,1.04,18.55
Arson,281,0.19,3.47
Extortion/Blackmail  ,64,0.04,0.79
Burglary/Breaking & Entering  ,4638,3.21,57.28
Pocket Picking,380,0.26,4.69
Purse Snatching,22,0.02,0.27
Shoplifting  ,15433,10.68,190.61
Theft from Building,927,0.64,11.45
Theft from Coin-Operated Machine or Device,49,0.03,0.61
Theft from Motor Vehicle,495,0.34,6.11
Theft of Motor Vehicle Parts or Accessories  ,121,0.08,1.49
All Other Larceny  ,14918,10.32,184.25
Motor Vehicle Theft  ,1008,0.7,12.45
Counterfeiting/Forgery,2173,1.5,26.84
False Pretenses/Swindle/Confidence Game,3145,2.18,38.84
Credit Card/Automatic Teller Machine Fraud  ,409,0.28,5.05
Impersonation  ,818,0.57,10.1
Welfare Fraud  ,70,0.05,0.86
Wire Fraud,1,0,0.01
Embezzlement  ,1625,1.12,20.07
Stolen Property Offenses,1000,0.69,12.35
Destruction/Damage/Vandalism of Property,4788,3.31,59.14
Drug/Narcotic Violations,36408,25.19,449.67
Drug Equipment Violations  ,372,0.26,4.59
Incest,5,0,0.06
Statutory Rape,137,0.09,1.69
Pornography/Obscene Material  ,214,0.15,2.64
Betting/Wagering  ,53,0.04,0.65
Operating/Promoting/Assisting Gambling  ,17,0.01,0.21
Gambling Equipment Violations,3,0,0.04
Sports Tampering  ,0,0,0
Prostitution,477,0.33,5.89
Assisting or Promoting Prostitution,310,0.21,3.83
Bribery,9,0.01,0.11
Weapon Law Violations,3802,2.63,46.96
TOTAL  ,144529,100,1785.06
