Age,Gender,White,Black,Am Indian/Alskn Native,Asian/Pacific Islander,Unk,Total
Under 10 ,M ,4,5,,,,9
,F ,5,2,,,1,8
10--14,M ,,1,,,,1
,F ,,,,,,
15-19 ,M ,4,16,,,,20
,F ,1,3,,,,4
20-24 ,M ,1,41,,,,42
,F ,1,6,,,2,9
25-29 ,M ,5,20,,,1,26
,F ,4,4,,1,,9
30-34 ,M ,4,21,,,,25
,F ,5,3,,,,8
35-39 ,M ,9,9,,,,18
,F ,5,4,,,,9
40-44 ,M ,8,10,,,,18
,F ,7,1,,,,8
45-49 ,M ,8,6,,,,14
,F ,5,2,,2,,9
50-54 ,M ,6,6,,,,12
,F ,,2,,,,2
55-59 ,M ,6,5,,,,11
,F ,3,2,,,,5
60-64 ,M ,4,1,,,,5
,F ,2,1,,,,3
65 & Over ,M ,9,3,,1,,13
,F ,9,2,,,,11
Unknown ,M ,,3,,,1,4
,F ,2,,,,,2
TOTAL ,M ,68,147,,1,2,218
,F ,49,32,,3,3,87
