Group A Offense* ,Number 2011,2011,2010,2009,2008,2007,2006,2005
Murder/Nonnegligent Manslaughter* ,305,3.77,4.61,4.43,4.75,5.33,5.21,6.16
Kidnaping/Abduction* ,"1,475",18.22,20.18,23.44,27.33,29.28,28.31,28.78
Forcible Sex Offenses* ,"5,104",63.04,62.25,60.63,67.69,68.94,71.64,70.12
Robbery,"5,451",67.32,70.99,80.19,96.36,100.37,101.55,98.92
Aggravated Assault*,"8,841",109.19,120.32,125.8,134.33,144.25,152.61,154.44
Simple Assault/Intimidation* ,"99,545",1229.47,1271.09,1247.5,1270.37,1278.19,1243.86,1247.8
Arson ,"1,167",14.41,15.42,16.63,18.86,21.54,22.73,21.84
Extortion/Blackmail ,113,1.4,1.9,1.48,1.8,1.4,1.37,0.95
Burglary,"30,438",375.94,378.61,396.33,408.66,408.85,412.53,385.13
Larceny,"144,491",1784.59,1849.06,1920.66,1976.38,1921.63,1908.36,2061.95
Motor Vehicle Theft ,"9,616",118.77,129.91,145.27,169.4,182.66,193.19,209.62
Counterfeiting/Forgery ,"7,074",87.37,89.25,94.78,93.27,96.9,111.15,114.5
Fraud ,"26,040",321.62,307,310.95,314.58,303.7,273.29,240.13
Embezzlement ,"2,838",35.05,33.75,36.87,46.9,50.31,46.06,42.63
Stolen Property,"1,454",17.96,19.41,22.39,23.59,23.29,21.85,19.23
Damage/Vandalism,"73,893",912.64,971.05,1055.03,1189.99,1223.79,1264.16,1205.4
Drug/Narcotic Offenses ,"50,650",625.57,591.35,570.27,593.67,619.66,587.93,558.12
Nonforcible Sex Offenses*,211,2.61,2.55,2.71,2.96,2.83,3.34,3.53
Pornography,683,8.44,7.75,7.03,5.95,4.75,3.9,3.03
Gambling,156,1.93,1.04,1.46,0.76,0.92,2.11,0.74
Prostitution,950,11.73,12.36,14.51,9.22,10.7,13.48,13.12
Bribery,25,0.31,0.4,0.29,0.37,0.22,0.29,0.17
Weapon Law Violations ,"9,062",111.92,112.72,117.31,133.01,137.03,141.53,141.21
* Crime counts are number of victims for offenses against a person and number of offenses for all other offenses.,,,,,,,,
