Name: “Table 1 of 1 on page 155 of 162”,Name: “Table 1 of 1 on page 155 of 162”,Name: “Table 1 of 1 on page 155 of 162”,Name: “Table 1 of 1 on page 155 of 162”
Table: 155,Table: 155,Table: 155,Table: 155
,,,
,,P a g e,| 153
"Table 52. Total State Mental Health Deaths by Cause of Death, 2008","Table 52. Total State Mental Health Deaths by Cause of Death, 2008",,
Natural Deaths,Total Cases,Autopsied,
Pulmonary Diseases/Disorders,18,4,
COPD,1,1,
Pneumonia,17,3,
Central Nervous System Diseases/Disorders,6,0,
Seizure Disorder,1,0,
Vascular Disease,3,0,
Degenerative Disease,2,0,
Cardiovascular Diseases/Disorders,14,8,
Atherosclerosis,11,5,
Atherosclerosis & Hypertension,2,2,
Other Cardiac Disease/Disorder,1,1,
Gastrointestinal Diseases/Disorders,7,3,
GI Hemorrhage,2,1,
GI Malignancy,3,1,
Other GI Disease/Disorder,2,1,
Perinatal and Pediatric Diseases/Disorders,1,1,
Fetal Complications,1,1,
Systemic Diseases/Disorders,7,1,
Diabetes,2,1,
Sepsis,4,0,
Metastatic Malignancy Unknown Primary,1,0,
Other Natural Diseases/Disorders,3,0,
Other Malignancy,1,0,
Other Natural Disease/Disorder,2,0,
Natural Subtotal,56,17,
Unnatural Deaths,Total Cases,Autopsied,
Asphyxia,6,4,
Choking (Aspiration: Food or Foreign,,,
,5,3,
Object),,,
Hanging,1,1,
Blunt Force Injuries,1,0,
Multiple,1,0,
Unnatural Subtotal,7,4,
TOTAL,63,21,
Virginia Department of Health,Office of the Chief Medical Examiner,November 2009,November 2009
