Name: “Table 1 of 1 on page 106 of 162”,Name: “Table 1 of 1 on page 106 of 162”,Name: “Table 1 of 1 on page 106 of 162”,Name: “Table 1 of 1 on page 106 of 162”,Name: “Table 1 of 1 on page 106 of 162”
Table: 106,Table: 106,Table: 106,Table: 106,Table: 106
,,,,
,,,P a g e,| 104
Continued,,Ethanol ≥0.01% W/V,Ethanol ≥0.01% W/V,
,Total Cases,Yes,No,
Positional,9,0,9,
Strangulation/Neck Compression,11,4,7,
Suffocation/Smothering,23,1,22,
Oxygen Replacement/Displacement,5,2,3,
Other Asphyxia,3,0,3,
Electrocution,13,1,12,
High Voltage,9,0,9,
Low Voltage,4,1,3,
Exposure,19,6,13,
Hyperthermia,9,2,7,
Hypothermia,10,4,6,
Fire Injuries,116,35,81,
Thermal Burns,20,0,20,
Inhalation of Combustion Products,54,19,35,
Thermal Burns & Inhalation of Combustions,,,,
,42,16,26,
Products,,,,
Judicial Execution,3,0,3,
Lethal Injection,3,0,3,
Gunshot Wound,817,289,528,
Handgun,606,212,394,
Rifle,65,25,40,
Shotgun,100,36,64,
Unknown Gun,45,16,29,
Other Gun,1,0,1,
Blunt Force Injuries,1467,340,1127,
Head/Neck,741,156,585,
Chest,92,21,71,
Abdomen,15,4,11,
Trunk,51,12,39,
Extremeties,129,3,126,
Multiple,439,144,295,
Penetrating Injuries,92,34,58,
Incised,26,6,20,
Stab,64,27,37,
Other Penetrating Injuries,2,1,1,
Substance Abuse,753,207,546,
Ethanol Poisoning,23,21,2,
Prescription Drug Poisoning,451,103,348,
Illegal (Street) Drug Poisoning,139,46,93,
CO Poisoning (Excludes Fires),18,5,13,
Mixed Category Drug Poisoning,85,28,57,
Inhalant Poisoning,7,1,6,
OTC Poisoning,12,0,12,
Ethylene Glycol Poisoning,5,0,5,
Virginia Department of Health,Office of the Chief Medical Examiner,,November 2009,November 2009
