Name: “Table 1 of 1 on page 50 of 162”,Name: “Table 1 of 1 on page 50 of 162”,Name: “Table 1 of 1 on page 50 of 162”,Name: “Table 1 of 1 on page 50 of 162”,Name: “Table 1 of 1 on page 50 of 162”
Table: 50,Table: 50,Table: 50,Table: 50,Table: 50
,,,,
,,,P a g e,| 48
,"Table 12. Accidental Deaths by Method of Death, 2008","Table 12. Accidental Deaths by Method of Death, 2008",,
Method of Death,,Total Cases,Autopsied,
Animal Related,,,,
"Animal related (bitten, stung, kicked)","Animal related (bitten, stung, kicked)",2,0,
Asphyxia,,,,
Choked on food/foreign object,Choked on food/foreign object,37,7,
Drowned,,81,48,
Hanging,,3,2,
Mechanical/Positional,,24,16,
Strangled,,1,1,
Suffocation/Smothering,,14,12,
Drug Use,,,,
Ingested ethanol or other alcohol,Ingested ethanol or other alcohol,21,16,
"Ingested and/or injected illicit, prescription, and/or OTC","Ingested and/or injected illicit, prescription, and/or OTC",,,
,,545,423,
medication,,,,
Electrical,,,,
Contacted electrical current,Contacted electrical current,12,10,
Exposure,,,,
Exposed to cold,,10,8,
Exposed to heat,,9,3,
Fall,,,,
Fall from any height,,459,76,
Fire,,,,
Smoke inhalation,,31,20,
Steam/Scald,,1,0,
Victim of explosion,,3,2,
Victim of fire/burns,,56,32,
Motor Vehicle,,,,
Aircraft,,11,10,
All Terrain Vehicle,,16,0,
Bicycle,,13,2,
Boat,,2,0,
Bus,,4,2,
Car,,459,44,
Dump Truck,,8,4,
Farm Equipment,,10,0,
Lawnmower,,2,0,
Moped,,10,1,
Motorcycle,,86,9,
Multiple,,2,0,
Pickup Truck,,107,10,
Sport Utility Vehicle,,89,14,
Tractor Trailer,,17,6,
Virginia Department of Health,Office of the Chief Medical Examiner,,,November 2009
