Name: “Table 1 of 1 on page 43 of 162”,Name: “Table 1 of 1 on page 43 of 162”,Name: “Table 1 of 1 on page 43 of 162”,Name: “Table 1 of 1 on page 43 of 162”,Name: “Table 1 of 1 on page 43 of 162”
Table: 43,Table: 43,Table: 43,Table: 43,Table: 43
,,,,
,,,P a g e,| 41
"Table 11. Total Cases by Cause of Death, 2008","Table 11. Total Cases by Cause of Death, 2008","Table 11. Total Cases by Cause of Death, 2008",,
Natural Deaths,Natural Deaths,Total Cases,Autopsied,
Pulmonary Diseases/Disorders,,152,85,
Asthma,,12,6,
COPD,,22,3,
Emboli,,26,19,
Pneumonia,,61,39,
Pulmonary Malignancy,Pulmonary Malignancy,14,4,
Other Pulmonary Disease/Disorder,Other Pulmonary Disease/Disorder,17,14,
Central Nervous System Diseases/Disorders,Central Nervous System Diseases/Disorders,110,53,
Seizure Disorder,,36,20,
Vascular Disease,,42,17,
Degenerative Disease,,7,1,
Meningitis (Bacterial or Viral),Meningitis (Bacterial or Viral),3,3,
CNS Malignancy,,4,2,
Other CNS Disease/Disorder,Other CNS Disease/Disorder,18,10,
Cardiovascular Diseases/Disorders,Cardiovascular Diseases/Disorders,1354,366,
Atherosclerosis,,788,122,
Hypertension,,150,65,
Atherosclerosis & Hypertension,Atherosclerosis & Hypertension,177,94,
Congenital Defect,,5,4,
Vascular Dissection/Ruptures,Vascular Dissection/Ruptures,6,3,
Valvular,,8,7,
Acute Coronary Insufficiency,Acute Coronary Insufficiency,138,6,
Other Cardiac Disease/Disorder,Other Cardiac Disease/Disorder,82,65,
Gastrointestinal Diseases/Disorders,Gastrointestinal Diseases/Disorders,229,78,
GI Hemorrhage,,38,11,
Cirrhosis,,19,6,
Chronic Ethanolism,,116,35,
Hepatitis,,7,2,
GI Malignancy,,20,7,
Other GI Disease/Disorder,Other GI Disease/Disorder,29,17,
Genitourinal Diseases/Disorders,Genitourinal Diseases/Disorders,9,4,
Renal Disease,,5,2,
Genitourinal Malignancy,Genitourinal Malignancy,4,2,
Perinatal and Pediatric Diseases/Disorders,Perinatal and Pediatric Diseases/Disorders,30,30,
Maternal Complications,Maternal Complications,4,4,
Fetal Complications,,4,4,
Sudden Infant Death Syndrome (SIDS),Sudden Infant Death Syndrome (SIDS),22,22,
Systemic Diseases/Disorders,,114,49,
Blood Disorders,,6,3,
Virginia Department of Health,Office of the Chief Medical Examiner,,November 2009,November 2009
