Name: “Table 1 of 1 on page 65 of 162”,Name: “Table 1 of 1 on page 65 of 162”,Name: “Table 1 of 1 on page 65 of 162”,Name: “Table 1 of 1 on page 65 of 162”,Name: “Table 1 of 1 on page 65 of 162”,Name: “Table 1 of 1 on page 65 of 162”
Table: 65,Table: 65,Table: 65,Table: 65,Table: 65,Table: 65
,,,,,
,,,,P a g e,| 63
"Table 17. Suicide Deaths by City/County of Injury by Year of Death, 2006-2008","Table 17. Suicide Deaths by City/County of Injury by Year of Death, 2006-2008","Table 17. Suicide Deaths by City/County of Injury by Year of Death, 2006-2008","Table 17. Suicide Deaths by City/County of Injury by Year of Death, 2006-2008",,
,Year of Death,Year of Death,,,
County/City of Injury,2006,2007,2008,Total,
Accomack,4,2,1,7,
Albemarle,2,6,8,16,
Alexandria,12,11,13,36,
Alleghany,3,2,0,5,
Amelia,2,1,1,4,
Amherst,4,6,6,16,
Appomattox,2,0,0,2,
Arlington,14,12,28,54,
Augusta,12,11,13,36,
Bath,1,0,1,2,
Bedford City,1,1,1,3,
Bedford,7,6,9,22,
Bland,2,1,0,3,
Botetourt,3,4,3,10,
Bristol,4,4,1,9,
Brunswick,2,2,1,5,
Buchanan,5,6,7,18,
Buckingham,3,3,5,11,
Buena Vista,0,0,1,1,
Campbell,6,3,7,16,
Caroline,3,6,3,12,
Carroll,6,8,6,20,
Charles City,0,0,2,2,
Charlotte,3,2,1,6,
Charlottesville,11,7,5,23,
Chesapeake,19,20,18,57,
Chesterfield,29,25,32,86,
Clarke,2,1,3,6,
Colonial Heights,1,2,3,6,
Covington,2,2,1,5,
Craig,0,1,2,3,
Culpeper,6,10,2,18,
Cumberland,0,1,2,3,
Danville,7,3,4,14,
Dickenson,2,5,5,12,
Dinwiddie,3,3,1,7,
Emporia,3,0,2,5,
Essex,0,1,3,4,
Fairfax City,2,2,1,5,
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,November 2009,November 2009
