Name: “Table 1 of 1 on page 76 of 162”,Name: “Table 1 of 1 on page 76 of 162”,Name: “Table 1 of 1 on page 76 of 162”,Name: “Table 1 of 1 on page 76 of 162”,Name: “Table 1 of 1 on page 76 of 162”,Name: “Table 1 of 1 on page 76 of 162”
Table: 76,Table: 76,Table: 76,Table: 76,Table: 76,Table: 76
,,,,,
,,,,P a g e,| 74
,,Year of Death,,Continued,
County/City of Injury,2006,2007,2008,Total,
Fairfax,29,16,25,70,
Falls Church,0,0,0,0,
Fauquier,2,4,1,7,
Floyd,0,0,2,2,
Fluvanna,0,0,1,1,
Franklin City,0,0,0,0,
Franklin,2,1,1,4,
Frederick,7,0,2,9,
Fredericksburg,0,2,2,4,
Galax,1,1,0,2,
Giles,1,0,0,1,
Gloucester,0,1,1,2,
Goochland,1,0,2,3,
Grayson,0,1,7,8,
Greene,0,1,0,1,
Greensville,5,0,6,11,
Halifax,1,3,4,8,
Hampton,14,7,9,30,
Hanover,2,0,1,3,
Harrisonburg,4,0,1,5,
Henrico,10,15,16,41,
Henry,7,3,6,16,
Highland,0,0,0,0,
Hopewell,4,3,3,10,
Isle of Wight,1,0,2,3,
James City,1,1,1,3,
King and Queen,0,0,0,0,
King George,0,0,0,0,
King William,0,2,0,2,
Lancaster,2,0,1,3,
Lee,0,1,2,3,
Lexington,0,0,0,0,
Loudoun,4,2,4,10,
Louisa,0,4,1,5,
Lunenburg,1,1,2,4,
Lynchburg,2,1,4,7,
Madison,0,0,1,1,
Manassas,1,1,4,6,
Martinsville,0,2,2,4,
Mathews,0,0,0,0,
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,November 2009,November 2009
