Name: “Table 1 of 1 on page 41 of 162”,Name: “Table 1 of 1 on page 41 of 162”,Name: “Table 1 of 1 on page 41 of 162”,Name: “Table 1 of 1 on page 41 of 162”,Name: “Table 1 of 1 on page 41 of 162”,Name: “Table 1 of 1 on page 41 of 162”,Name: “Table 1 of 1 on page 41 of 162”,Name: “Table 1 of 1 on page 41 of 162”
Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41,Table: 41
,,,,,,,
,,,,,,P a g e,| 39
,,,Manner of Death,Manner of Death,,Continued,
,Accident,Homicide,Natural,Suicide,Undetermined,,
County/City of Death,Total,Total,Total,Total,Total,Total,
Poquoson,1,0,0,0,0,1,
Portsmouth,21,14,50,8,6,99,
Powhatan,4,3,14,4,1,26,
Prince Edward,4,1,13,1,1,20,
Prince George,6,0,4,7,0,17,
Prince William,46,10,49,37,3,145,
Pulaski,13,2,9,2,2,28,
Radford,5,0,1,1,2,9,
Rappahannock,0,0,1,3,0,4,
Richmond City,182,47,130,29,4,392,
Richmond,4,1,1,3,0,9,
Roanoke City,103,22,34,27,3,189,
Roanoke,11,0,11,16,0,38,
Rockbridge,8,0,10,6,0,24,
Rockingham,13,1,7,8,1,30,
Russell,14,1,8,10,0,33,
Salem,10,1,4,5,1,21,
Scott,10,1,6,5,0,22,
Shenandoah,16,0,10,7,0,33,
Smyth,10,1,5,5,0,21,
Southampton,7,0,21,4,0,32,
Spotsylvania,17,0,20,14,0,51,
Stafford,15,3,9,13,0,40,
Staunton,7,1,4,1,0,13,
Suffolk,20,5,21,10,1,57,
Surry,4,1,0,0,0,5,
Sussex,13,1,4,1,0,19,
Tazewell,16,2,21,4,2,45,
Virginia Beach,89,18,85,44,4,240,
Warren,14,0,13,8,2,37,
Washington,21,2,23,10,3,59,
Waynesboro,3,0,6,2,0,11,
Westmoreland,10,1,3,4,0,18,
Williamsburg,1,0,4,0,0,5,
Winchester,21,2,16,9,1,49,
Wise,17,0,15,8,2,42,
Wythe,20,2,9,8,0,39,
York,15,1,31,9,0,56,
TOTAL FOR STATE,2295,396,2024,947,139,5801,
Out of State,2,2,3,2,0,9,
Unknown,0,1,0,0,0,1,
TOTAL,2297,399,2027,949,139,5811,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,November 2009,November 2009
