Name: “Table 1 of 1 on page 86 of 162”,Name: “Table 1 of 1 on page 86 of 162”,Name: “Table 1 of 1 on page 86 of 162”,Name: “Table 1 of 1 on page 86 of 162”,Name: “Table 1 of 1 on page 86 of 162”
Table: 86,Table: 86,Table: 86,Table: 86,Table: 86
,,,,
,,,P a g e,| 84
Continued,,,,
Systemic Diseases/Disorders,Systemic Diseases/Disorders,8,7,
,Diabetes,1,1,
,Sepsis,3,2,
,Other Infectious Disease,2,2,
,Other Systemic Disease/Disorder,2,2,
Other Natural Diseases/Disorders,Other Natural Diseases/Disorders,8,8,
,Other Natural Disease/Disorder,8,8,
Natural Subtotal,Natural Subtotal,83,82,
Unnatural Deaths,Unnatural Deaths,Total Cases,Autopsied,
Asphyxia,,55,44,
,Choking (Aspiration: Food or Foreign Object),1,1,
,Drowning,13,7,
,Hanging,15,10,
,Mechanical,5,5,
,Positional,7,7,
,Suffocation/Smothering,14,14,
Exposure,,4,4,
,Hyperthermia,3,3,
,Hypothermia,1,1,
Fire Injuries,,8,7,
,Thermal Burns,2,2,
,Inhalation of Combustion Products,4,3,
,Thermal Burns & Inhalation of Combustions,,,
,,2,2,
,Products,,,
Gunshot Wound,Gunshot Wound,39,39,
,Handgun,26,25,
,Rifle,4,4,
,Shotgun,9,9,
,Unknown Gun,1,1,
Blunt Force Injuries,Blunt Force Injuries,103,21,
,Head/Neck,68,13,
,Chest,2,0,
,Abdomen,2,1,
,Trunk,2,2,
,Extremeties,1,1,
,Multiple,29,4,
Penetrating Injuries,Penetrating Injuries,3,3,
,Incised,2,2,
,Stab,1,1,
Substance Abuse,Substance Abuse,7,6,
,Prescription Drug Poisoning,5,5,
,Illegal (Street) Drug Poisoning,1,1,
,"Other Poisons (Heavy Metals, etc.)",1,0,
Virginia Department of Health,Office of the Chief Medical Examiner,,November 2009,November 2009
