Name: “Table 1 of 1 on page 131 of 162”,Name: “Table 1 of 1 on page 131 of 162”,Name: “Table 1 of 1 on page 131 of 162”,Name: “Table 1 of 1 on page 131 of 162”,Name: “Table 1 of 1 on page 131 of 162”
Table: 131,Table: 131,Table: 131,Table: 131,Table: 131
,,,,
,,,P a g e,| 129
Continued,Class,Drug/Poison/Active Metabolite,Total,
,,DIPHENHYDRAMINE,55,
,,DOXYLAMINE,13,
,,HYDROXYZINE,1,
,,MECLIZINE,1,
,,NORCHLORCYCLIZINE,1,
,,ORPHENADRINE,2,
,,Anti-Histamine Total,91,
,Anti-Psychotic,,,
,,CHLORPROMAZINE,2,
,,CLOZAPINE,1,
,,OLANZAPINE,8,
,,PROCHLORPERAZINE,1,
,,PROMAZINE,1,
,,QUETIAPINE,24,
,,Anti-Psychotic Total,37,
,Cannabinoids,,,
,,TETRAHYDROCANNABINOL CARBOXYLIC ACID,5,
,,Cannabinoids Total,5,
,Muscle Relaxant,,,
,,CARISOPRODOL,15,
,,CYCLOBENZAPRINE,29,
,,METAXALONE,2,
,,METHOCARBAMOL,2,
,,PANCURONIUM BROMIDE,1,
,,Muscle Relaxant Total,49,
,Narcotic,,,
,,ACETYLMORPHINE (Heroin Metabolite),39,
,,CODEINE (Possible Heroin Metabolite),53,
,,FENTANYL,68,
,,HYDROCODONE,81,
,,HYDROMORPHONE,13,
,,MEPERIDINE,2,
,,METHADONE,144,
,,MORPHINE (Possible Heroin Metabolite),156,
,,NORMEPERIDINE,1,
,,NORPROPOXYPHENE,18,
,,OXYCODONE,137,
,,OXYMORPHONE,36,
,,PROPOXYPHENE,29,
,,Narcotic Total,777,
,Other,,,
,,ACETONE,3,
,,BENZTROPINE,3,
Virginia Department of Health,Virginia Department of Health,Office of the Chief Medical Examiner,November 2009,November 2009
