Name: “Table 1 of 1 on page 61 of 162”,Name: “Table 1 of 1 on page 61 of 162”,Name: “Table 1 of 1 on page 61 of 162”,Name: “Table 1 of 1 on page 61 of 162”,Name: “Table 1 of 1 on page 61 of 162”,Name: “Table 1 of 1 on page 61 of 162”,Name: “Table 1 of 1 on page 61 of 162”,Name: “Table 1 of 1 on page 61 of 162”,Name: “Table 1 of 1 on page 61 of 162”,Name: “Table 1 of 1 on page 61 of 162”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,,
,,,,,,,,P a g e,| 59
,,"Figure 27. Suicide Deaths by Month of Death, 2008","Figure 27. Suicide Deaths by Month of Death, 2008","Figure 27. Suicide Deaths by Month of Death, 2008","Figure 27. Suicide Deaths by Month of Death, 2008","Figure 27. Suicide Deaths by Month of Death, 2008",,,
100,,,,,,,,,
,,92,,,,,,,
,,,,,88,,,,
90,,,,,,86,,,
,,80,81,,,80,,,
80,,78,,,77,,,77,
,,,72,,,,,,
,,,,,,,,70,
,,,,68,,,,,
70,,,,,,,,,
60,,,,,,,,,
50,,,,,,,,,
40,,,,,,,,,
30,,,,,,,,,
20,,,,,,,,,
10,,,,,,,,,
0,,,,,,,,,
,,"Figure 28. Suicide Deaths by Day of Death, 2008","Figure 28. Suicide Deaths by Day of Death, 2008","Figure 28. Suicide Deaths by Day of Death, 2008","Figure 28. Suicide Deaths by Day of Death, 2008",,,,
,,160,,,,,,,
160,,,,,,,,,
,,,150,,,,,,
,,,,,,,,136,
140,,,,133,,,,,
,,124,,,124,,,,
,,,,,,122,,,
120,,,,,,,,,
100,,,,,,,,,
80,,,,,,,,,
60,,,,,,,,,
40,,,,,,,,,
20,,,,,,,,,
0,,,,,,,,,
,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,
Virginia Department of Health,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,November 2009,November 2009
