Name: “Table 1 of 1 on page 109 of 162”,Name: “Table 1 of 1 on page 109 of 162”,Name: “Table 1 of 1 on page 109 of 162”,Name: “Table 1 of 1 on page 109 of 162”,Name: “Table 1 of 1 on page 109 of 162”
Table: 109,Table: 109,Table: 109,Table: 109,Table: 109
,,,,
,,,P a g e,| 107
"Table 31. Accidental Deaths by Method of Death by Presence of Ethanol, 2008","Table 31. Accidental Deaths by Method of Death by Presence of Ethanol, 2008","Table 31. Accidental Deaths by Method of Death by Presence of Ethanol, 2008",,
,,,Ethanol,Ethanol
,,,≥0.01% W/V,≥0.01% W/V
Method of Death,,Total Cases,Yes,No
Animal Related,,,,
"Animal related (bitten, stung, kicked)","Animal related (bitten, stung, kicked)",2,0,2
Asphyxia,,,,
Choked on food/foreign object,,37,3,34
Drowned,,81,30,51
Hanging,,3,0,3
Mechanical/Positional,,24,0,24
Strangled,,1,0,1
Suffocation/Smothering,,14,0,14
Drug Use,,,,
Ingested ethanol or other alcohol,Ingested ethanol or other alcohol,21,19,2
"Ingested and/or injected illicit, prescription, and/or OTC","Ingested and/or injected illicit, prescription, and/or OTC",,,
,,547,137,410
medication,,,,
Electrical,,,,
Contacted electrical current,,12,0,12
Exposure,,,,
Exposed to cold,,10,4,6
Exposed to heat,,9,2,7
Fall,,,,
Fall from any height,,459,25,434
Fire,,,,
Smoke inhalation,,31,12,19
Steam/Scald,,1,0,1
Victim of explosion,,3,1,2
Victim of fire/burns,,56,13,43
Motor Vehicle,,,,
Aircraft,,11,1,10
All Terrain Vehicle,,16,7,9
Bicycle,,13,2,11
Boat,,2,1,1
Bus,,4,1,3
Car,,459,169,290
Dump Truck,,8,1,7
Farm Equipment,,10,2,8
Lawnmower,,2,0,2
Moped,,10,3,7
Motorcycle,,86,29,57
Pickup Truck,,107,37,70
Sport Utility Vehicle,,89,30,59
Virginia Department of Health,Office of the Chief Medical Examiner,,,November 2009
