Name: “Table 1 of 1 on page 140 of 162”,Name: “Table 1 of 1 on page 140 of 162”,Name: “Table 1 of 1 on page 140 of 162”,Name: “Table 1 of 1 on page 140 of 162”,Name: “Table 1 of 1 on page 140 of 162”,Name: “Table 1 of 1 on page 140 of 162”,Name: “Table 1 of 1 on page 140 of 162”
Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140,Table: 140
,,,,,,
,,,,,P a g e,| 138
,"Table 44. FHMO Combinations Causing Death by Race/Ethnicity, 2008","Table 44. FHMO Combinations Causing Death by Race/Ethnicity, 2008","Table 44. FHMO Combinations Causing Death by Race/Ethnicity, 2008","Table 44. FHMO Combinations Causing Death by Race/Ethnicity, 2008",,
,,Race/Ethnicity,Race/Ethnicity,,,
,,,Native,,,
FHMO Combination,Asian,Black,American,White,Total,
Oxycodone,1,2,1,83,87,
Methadone,1,6,0,117,124,
Fentanyl,0,3,0,47,50,
Hydrocodone,0,2,0,43,45,
Oxycodone & Methadone,0,0,0,12,12,
Oxycodone & Fentanyl,0,0,0,6,6,
Oxycodone & Hydrocodone,0,0,0,16,16,
Methadone & Fentanyl,0,0,0,4,4,
Methadone & Hydrocodone,0,0,0,3,3,
Fentanyl & Hydrocodone,0,0,0,7,7,
"Oxycodone, Fentanyl & Hydrocodone",0,0,0,1,1,
"Oxycodone, Methadone & Hydrocodone",0,0,0,1,1,
Total,2,13,1,340,356,
,"Table 45. FHMO Combinations Causing Death by OCME District, 2008","Table 45. FHMO Combinations Causing Death by OCME District, 2008","Table 45. FHMO Combinations Causing Death by OCME District, 2008","Table 45. FHMO Combinations Causing Death by OCME District, 2008",,
,,District,District,,,
FHMO Combination,Central,Northern,Tidewater,Western,Total,
Oxycodone,12,26,13,36,87,
Methadone,36,23,14,51,124,
Fentanyl,15,3,11,21,50,
Hydrocodone,4,5,10,26,45,
Oxycodone & Methadone,4,3,3,2,12,
Oxycodone & Fentanyl,0,1,0,5,6,
Oxycodone & Hydrocodone,2,7,1,6,16,
Methadone & Fentanyl,1,0,0,3,4,
Methadone & Hydrocodone,0,0,0,3,3,
Fentanyl & Hydrocodone,1,1,1,4,7,
"Oxycodone, Fentanyl & Hydrocodone",0,0,0,1,1,
"Oxycodone, Methadone & Hydrocodone",0,0,0,1,1,
Total,75,69,53,159,356,
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,November 2009,November 2009
