Name: “Table 1 of 1 on page 153 of 162”,Name: “Table 1 of 1 on page 153 of 162”,Name: “Table 1 of 1 on page 153 of 162”,Name: “Table 1 of 1 on page 153 of 162”,Name: “Table 1 of 1 on page 153 of 162”
Table: 153,Table: 153,Table: 153,Table: 153,Table: 153
,,,,
,,,P a g e,| 151
SECTION 9: STATE MENTAL HEALTH FACILITIES (N=63),SECTION 9: STATE MENTAL HEALTH FACILITIES (N=63),SECTION 9: STATE MENTAL HEALTH FACILITIES (N=63),,
"Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates the death of any patient or resident of a","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates the death of any patient or resident of a","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates the death of any patient or resident of a","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates the death of any patient or resident of a","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates the death of any patient or resident of a"
state mental health facility.,state mental health facility.,The OCME took jurisdiction of 63 state mental health residents.,,
,"The majority of state mental health cases were natural (88.9%), white (76.2%) and male (61.9%).","The majority of state mental health cases were natural (88.9%), white (76.2%) and male (61.9%).","The majority of state mental health cases were natural (88.9%), white (76.2%) and male (61.9%).",
,"Figure 95. Proportion of State Mental Health Cases by Manner of Death, 2008","Figure 95. Proportion of State Mental Health Cases by Manner of Death, 2008",,
,,Suicide,Accident,
,,2%,9%,
,Natural,,,
,89%,,,
,"Figure 96. Proportion of State Mental Health Cases by Race/Ethnicity, 2008","Figure 96. Proportion of State Mental Health Cases by Race/Ethnicity, 2008",,
,,Asian,,
,,2%,Black,
,,,22%,
,White,,,
,76%,,,
Virginia Department of Health,,Office of the Chief Medical Examiner,November 2009,November 2009
