Name: “Table 1 of 1 on page 149 of 162”,Name: “Table 1 of 1 on page 149 of 162”,Name: “Table 1 of 1 on page 149 of 162”,Name: “Table 1 of 1 on page 149 of 162”,Name: “Table 1 of 1 on page 149 of 162”
Table: 149,Table: 149,Table: 149,Table: 149,Table: 149
,,,,
,,,P a g e,| 147
SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=161),SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=161),SECTION 8: IN CUSTODY (PRISONER) POPULATION (N=161),,
"Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other","Pursuant to § 32.1-283 of the Code of Virginia, the OCME investigates deaths of persons in jail, prison, or other"
"correctional institution, or in police custody.","correctional institution, or in police custody.",The OCME took jurisdiction of 161 prisoners in 2008.,The OCME took jurisdiction of 161 prisoners in 2008.,
•,The majority (79.5%) of prisoner cases were natural.,The majority (79.5%) of prisoner cases were natural.,,
•,The vast majority of cases were males (90.7%) and while blacks had a slight majority of cases over,The vast majority of cases were males (90.7%) and while blacks had a slight majority of cases over,The vast majority of cases were males (90.7%) and while blacks had a slight majority of cases over,
,"whites (50.3% versus 47.2%, respectively), the rate of black prisoner deaths was 2.8 times that of","whites (50.3% versus 47.2%, respectively), the rate of black prisoner deaths was 2.8 times that of","whites (50.3% versus 47.2%, respectively), the rate of black prisoner deaths was 2.8 times that of",
,whites.,,,
,"Figure 91. Proportion of Prisoner Deaths by Manner of Death, 2008","Figure 91. Proportion of Prisoner Deaths by Manner of Death, 2008",,
,,Undetermined,Accident,
,Suicide,1%,7%,
,8%,,Homicide,
,,,4%,
,Natural,,,
,80%,,,
,"Figure 92. Proportion of Prisoner Deaths by Race/Ethnicity, 2008","Figure 92. Proportion of Prisoner Deaths by Race/Ethnicity, 2008",,
,,Asian,,
,,1%,,
,White,,Black,
,47%,,50%,
,,Hispanic,,
,Other,,,
,,1%,,
,1%,,,
Virginia Department of Health,,Office of the Chief Medical Examiner,November 2009,November 2009
