Name: “Table 1 of 1 on page 130 of 162”,Name: “Table 1 of 1 on page 130 of 162”,Name: “Table 1 of 1 on page 130 of 162”,Name: “Table 1 of 1 on page 130 of 162”,Name: “Table 1 of 1 on page 130 of 162”
Table: 130,Table: 130,Table: 130,Table: 130,Table: 130
,,,,
,,,P a g e,| 128
Continued,Class,Drug/Poison/Active Metabolite,Total,
,Anti-Anxiety,Anti-Anxiety,,
,,ALPRAZOLAM,134,
,,CHLORDIAZEPOXIDE,3,
,,DIAZEPAM,82,
,,LORAZEPAM,13,
,,MEPROBAMATE,21,
,,NORDIAZEPAM (Diazepam Metabolite),82,
,,Anti-Anxiety Total,335,
,Anti-Arrythmic/Anti-Hypertensive,Anti-Arrythmic/Anti-Hypertensive,,
,,DILTIAZEM,3,
,,METOPROLOL,1,
,,VERAPAMIL,6,
,,Anti-Arrythmic/Anti-Hypertensive Total,10,
,Anti-Convulsant,Anti-Convulsant,,
,,CARBAMAZEPINE,5,
,,CLONAZEPAM,4,
,,GABAPENTIN,4,
,,LAMOTRIGINE,5,
,,OXCARBAZEPINE,2,
,,PHENOBARBITAL,4,
,,TOPIRAMATE,5,
,,VALPROIC ACID,2,
,,Anti-Convulsant Total,31,
,Anti-Depressant,Anti-Depressant,,
,,AMITRIPTYLINE,48,
,,BUPROPION (Wellbutrin),26,
,,CITALOPRAM,50,
,,DESIPRAMINE,2,
,,DOXEPIN,5,
,,FLUOXETINE,30,
,,FLUVOXAMINE,1,
,,IMIPRAMINE,2,
,,MIRTAZAPINE,16,
,,NORDOXEPIN (Doxepin Metabolite),2,
,,NORFLUOXETINE (Fluoxetine Metabolite),5,
,,NORTRIPTYLENE (Triptylene Metabolite),43,
,,PAROXETINE,6,
,,SERTRALINE,21,
,,TRAZODONE,18,
,,VENLAFAXINE,26,
,,Anti-Depressant Total,301,
,Anti-Histamine,Anti-Histamine,,
,,CHLORPHENIRAMINE,18,
Virginia Department of Health,Virginia Department of Health,Office of the Chief Medical Examiner,November 2009,November 2009
