Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”,Name: “Table 1 of 1 on page 18 of 162”
Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18,Table: 18
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,P a g e,| 16
National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,National Association of Medical Examiners Accreditation,,,,,,
The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical,The National Association of Medical Examiners (NAME) is the professional organization for physician medical
"examiners,","examiners,",medicolegal,death,investigators,investigators,investigators,and,death,investigation,investigation,system,administrators,administrators,who,investigate,investigate
deaths,of,public,"interest,",either,legal,or,public,"health,",in,the,United,States.,NAME,has,developed,an
accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.,accreditation process to improve the quality of death investigation within medical examiner offices and systems.
"When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment","When an office is accredited by NAME, it is an endorsement that the office has provided an environment"
adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its,adequate for a medical examiner to practice his or her profession and that the office can adequately serve its
jurisdiction.,jurisdiction.,"The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility","The accreditation process includes but is not limited to: inspection of facilities, review of facility"
"and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of","and personnel safety, qualification of medical examiners, review of medical legal procedures, and review of"
reports and records.,reports and records.,reports and records.,"One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,","One requirement within the reports and records section is an annual statistical report,"
which OCME fulfills with this report.,which OCME fulfills with this report.,which OCME fulfills with this report.,which OCME fulfills with this report.,which OCME fulfills with this report.,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual,The following data is needed for the NAME requirement for the annual
statistical report:,statistical report:,statistical report:,,,,,,,,,,,,,,
,A.,Deaths reported:,Deaths reported:,,,,,,7607 cases,7607 cases,,,,,,
,B.,Cases accepted:,Cases accepted:,,,,,,5811 cases (plus 213 retrospectives),5811 cases (plus 213 retrospectives),5811 cases (plus 213 retrospectives),5811 cases (plus 213 retrospectives),5811 cases (plus 213 retrospectives),,,
,C.,Manners of death:,Manners of death:,,,,,,"Accident- 2293, Homicide- 399,","Accident- 2293, Homicide- 399,","Accident- 2293, Homicide- 399,","Accident- 2293, Homicide- 399,","Accident- 2293, Homicide- 399,",,,
,,,,,,,,,"Natural- 2027, Suicide- 949, Undetermined- 139","Natural- 2027, Suicide- 949, Undetermined- 139","Natural- 2027, Suicide- 949, Undetermined- 139","Natural- 2027, Suicide- 949, Undetermined- 139","Natural- 2027, Suicide- 949, Undetermined- 139","Natural- 2027, Suicide- 949, Undetermined- 139","Natural- 2027, Suicide- 949, Undetermined- 139",
,D.,Scene visits:,,,,,,,786 or 13.5% of cases,786 or 13.5% of cases,786 or 13.5% of cases,786 or 13.5% of cases,,,,
,E.,Bodies transported by office:,Bodies transported by office:,Bodies transported by office:,Bodies transported by office:,Bodies transported by office:,,,"Central- 1232, Western- 917,","Central- 1232, Western- 917,","Central- 1232, Western- 917,","Central- 1232, Western- 917,","Central- 1232, Western- 917,",,,
,,,,,,,,,"Tidewater- 859, Northern- 851","Tidewater- 859, Northern- 851","Tidewater- 859, Northern- 851","Tidewater- 859, Northern- 851","Tidewater- 859, Northern- 851",,,
,F.,External examinations:,External examinations:,External examinations:,,,,,2992 cases,2992 cases,,,,,,
,G.,Complete examinations (autopsy):,Complete examinations (autopsy):,Complete examinations (autopsy):,Complete examinations (autopsy):,Complete examinations (autopsy):,Complete examinations (autopsy):,,2790 cases,2790 cases,,,,,,
,H.,Partial examinations:,Partial examinations:,Partial examinations:,,,,,29 cases,29 cases,,,,,,
,I.,Hospital autopsies under ME jurisdiction:,Hospital autopsies under ME jurisdiction:,Hospital autopsies under ME jurisdiction:,Hospital autopsies under ME jurisdiction:,Hospital autopsies under ME jurisdiction:,Hospital autopsies under ME jurisdiction:,Hospital autopsies under ME jurisdiction:,10 cases,10 cases,,,,,,
,J.,Cases with toxicology:,Cases with toxicology:,Cases with toxicology:,,,,,5352 or 92% of cases,5352 or 92% of cases,5352 or 92% of cases,5352 or 92% of cases,,,,
,K.,Unidentified bodies after examination:,Unidentified bodies after examination:,Unidentified bodies after examination:,Unidentified bodies after examination:,Unidentified bodies after examination:,Unidentified bodies after examination:,Unidentified bodies after examination:,4 cases,4 cases,,,,,,
,L.,"Organ, tissue & eye donations:","Organ, tissue & eye donations:","Organ, tissue & eye donations:","Organ, tissue & eye donations:","Organ, tissue & eye donations:",,,436 donations,436 donations,436 donations,,,,,
,M. Unclaimed bodies:,M. Unclaimed bodies:,M. Unclaimed bodies:,,,,,,13 cases,13 cases,,,,,,
,N.,Exhumations:,Exhumations:,,,,,,0 case,0 case,,,,,,
,O.,Bodies transported to office:,Bodies transported to office:,Bodies transported to office:,Bodies transported to office:,Bodies transported to office:,,,"Central- 1273,","Central- 1273,","Central- 1273,","Western- 927,","Western- 927,",,,
,,,,,,,,,"Tidewater- 916, Northern- 873","Tidewater- 916, Northern- 873","Tidewater- 916, Northern- 873","Tidewater- 916, Northern- 873","Tidewater- 916, Northern- 873",,,
Virginia Department of Health,Virginia Department of Health,Virginia Department of Health,,,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,November 2009,November 2009
