Name: “Table 1 of 1 on page 44 of 162”,Name: “Table 1 of 1 on page 44 of 162”,Name: “Table 1 of 1 on page 44 of 162”,Name: “Table 1 of 1 on page 44 of 162”,Name: “Table 1 of 1 on page 44 of 162”
Table: 44,Table: 44,Table: 44,Table: 44,Table: 44
,,,,
,,,P a g e,| 42
Continued,,,,
Diabetes,,42,11,
AIDS/HIV,,11,6,
Sepsis,,24,12,
Other Infectious Disease,Other Infectious Disease,6,6,
Metastatic Malignancy Unknown Primary,Metastatic Malignancy Unknown Primary,9,3,
Other Systemic Disease/Disorder,Other Systemic Disease/Disorder,16,8,
Other Natural Diseases/Disorders,Other Natural Diseases/Disorders,29,16,
Other Malignancy,,5,1,
Other Natural Disease/Disorder,Other Natural Disease/Disorder,24,15,
Natural Subtotal,,2027,681,
Unnatural Deaths,Unnatural Deaths,Total Cases,Autopsied,
Asphyxia,,402,188,
Choking (Aspiration: Food or Foreign Object),Choking (Aspiration: Food or Foreign Object),37,7,
Drowning,,99,58,
Hanging,,185,71,
Mechanical,,30,14,
Positional,,9,7,
Strangulation/Neck Compression,Strangulation/Neck Compression,11,11,
Suffocation/Smothering,Suffocation/Smothering,23,16,
Oxygen Replacement/Displacement,Oxygen Replacement/Displacement,5,3,
Other Asphyxia,,3,1,
Electrocution,,13,11,
High Voltage,,9,7,
Low Voltage,,4,4,
Exposure,,19,11,
Hyperthermia,,9,3,
Hypothermia,,10,8,
Fire Injuries,,116,77,
Thermal Burns,,20,5,
Inhalation of Combustion Products,Inhalation of Combustion Products,54,36,
Thermal Burns & Inhalation of Combustions Products,Thermal Burns & Inhalation of Combustions Products,42,36,
Judicial Execution,,3,3,
Lethal Injection,,3,3,
Gunshot Wound,,817,813,
Handgun,,606,604,
Rifle,,65,65,
Shotgun,,100,99,
Unknown Gun,,45,44,
Other Gun,,1,1,
Blunt Force Injuries,,1467,266,
Head/Neck,,741,130,
Chest,,92,11,
Abdomen,,15,3,
Virginia Department of Health,Office of the Chief Medical Examiner,,November 2009,November 2009
