Name: “Table 1 of 1 on page 100 of 162”,Name: “Table 1 of 1 on page 100 of 162”,Name: “Table 1 of 1 on page 100 of 162”,Name: “Table 1 of 1 on page 100 of 162”,Name: “Table 1 of 1 on page 100 of 162”
Table: 100,Table: 100,Table: 100,Table: 100,Table: 100
,,,,
,,,P a g e,| 98
UNDETERMINED DEATHS OF CHILDREN (N=68),UNDETERMINED DEATHS OF CHILDREN (N=68),UNDETERMINED DEATHS OF CHILDREN (N=68),,
A total of 68 undetermined deaths of children occurred in 2007; this represents 48.9 percent of all undetermined,A total of 68 undetermined deaths of children occurred in 2007; this represents 48.9 percent of all undetermined,A total of 68 undetermined deaths of children occurred in 2007; this represents 48.9 percent of all undetermined,A total of 68 undetermined deaths of children occurred in 2007; this represents 48.9 percent of all undetermined,A total of 68 undetermined deaths of children occurred in 2007; this represents 48.9 percent of all undetermined
cases.,,,,
,91.2% of undetermined deaths were less than 1 year of age.,91.2% of undetermined deaths were less than 1 year of age.,,
,80.9% had the diagnosis of SUID.,80.9% had the diagnosis of SUID.,,
,"Figure 60. Undetermined Deaths of Children by Age by Gender, 2008","Figure 60. Undetermined Deaths of Children by Age by Gender, 2008","Figure 60. Undetermined Deaths of Children by Age by Gender, 2008",
,"Figure 61. Proportion of Undetermined Deaths of Children by Race/Ethnicity, 2008","Figure 61. Proportion of Undetermined Deaths of Children by Race/Ethnicity, 2008","Figure 61. Proportion of Undetermined Deaths of Children by Race/Ethnicity, 2008",
,White,,Black,
,40%,,49%,
,Other,,,
,2%,,,
,Native,,,
,American,Indian,Hispanic,
,2%,,,
,,2%,5%,
Virginia Department of Health,,,Office of the Chief Medical Examiner,November 2009
