Name: “Table 1 of 1 on page 67 of 162”,Name: “Table 1 of 1 on page 67 of 162”,Name: “Table 1 of 1 on page 67 of 162”,Name: “Table 1 of 1 on page 67 of 162”,Name: “Table 1 of 1 on page 67 of 162”,Name: “Table 1 of 1 on page 67 of 162”
Table: 67,Table: 67,Table: 67,Table: 67,Table: 67,Table: 67
,,,,,
,,,,P a g e,| 65
,Year of Death,Year of Death,,,
County/City of Injury,2006,2007,2008,Total,
Montgomery,11,22,8,41 Continued,
Nelson,2,1,3,6,
New Kent,3,3,2,8,
Newport News,11,15,18,44,
Norfolk,27,34,29,90,
Northampton,0,4,1,5,
Northumberland,1,3,2,6,
Norton,0,0,2,2,
Nottoway,1,0,4,5,
Orange,6,4,5,15,
Page,6,5,7,18,
Patrick,3,4,4,11,
Petersburg,1,4,7,12,
Pittsylvania,13,9,6,28,
Poquoson,1,1,1,3,
Portsmouth,8,14,10,32,
Powhatan,5,2,4,11,
Prince Edward,3,3,1,7,
Prince George,6,7,7,20,
Prince William,32,29,35,96,
Pulaski,11,10,2,23,
Radford,1,0,2,3,
Rappahannock,0,4,3,7,
Richmond City,32,25,22,79,
Richmond,1,1,4,6,
Roanoke City,10,15,19,44,
Roanoke,11,7,19,37,
Rockbridge,5,4,6,15,
Rockingham,9,10,9,28,
Russell,5,4,10,19,
Salem,4,7,5,16,
Scott,3,12,5,20,
Shenandoah,7,5,8,20,
Smyth,3,11,5,19,
Southampton,4,1,4,9,
Spotsylvania,13,18,17,48,
Stafford,6,14,15,35,
Staunton,4,7,1,12,
Suffolk,11,1,10,22,
Surry,0,1,0,1,
Sussex,1,2,1,4,
Tazewell,11,4,4,19,
Virginia Department of Health,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,November 2009,November 2009
