Name: “Table 1 of 1 on page 156 of 162”,Name: “Table 1 of 1 on page 156 of 162”,Name: “Table 1 of 1 on page 156 of 162”,Name: “Table 1 of 1 on page 156 of 162”,Name: “Table 1 of 1 on page 156 of 162”
Table: 156,Table: 156,Table: 156,Table: 156,Table: 156
,,,,
,,,P a g e,| 154
SECTION 10: RECOVERED UNREPORTED CASES (N=213),SECTION 10: RECOVERED UNREPORTED CASES (N=213),SECTION 10: RECOVERED UNREPORTED CASES (N=213),,
Recovered unreported cases are those cases that the OCME investigates retrospectively.,Recovered unreported cases are those cases that the OCME investigates retrospectively.,Recovered unreported cases are those cases that the OCME investigates retrospectively.,"At times, medical care","At times, medical care"
providers or death reporters misunderstand what type of case falls under the jurisdiction of the OCME and do,providers or death reporters misunderstand what type of case falls under the jurisdiction of the OCME and do,providers or death reporters misunderstand what type of case falls under the jurisdiction of the OCME and do,providers or death reporters misunderstand what type of case falls under the jurisdiction of the OCME and do,providers or death reporters misunderstand what type of case falls under the jurisdiction of the OCME and do
not refer a case to the OCME.,not refer a case to the OCME.,The OCME typically learns about these cases from VDH’s Division of Vital,The OCME typically learns about these cases from VDH’s Division of Vital,The OCME typically learns about these cases from VDH’s Division of Vital
"Records, funeral homes, or local medical examiners.","Records, funeral homes, or local medical examiners.",,,
"While these 213 cases are in the annual report reflective of calendar year 2008, retrospective cases may have","While these 213 cases are in the annual report reflective of calendar year 2008, retrospective cases may have","While these 213 cases are in the annual report reflective of calendar year 2008, retrospective cases may have","While these 213 cases are in the annual report reflective of calendar year 2008, retrospective cases may have","While these 213 cases are in the annual report reflective of calendar year 2008, retrospective cases may have"
been deaths from other years but the OCME investigation of the case began in 2008.,been deaths from other years but the OCME investigation of the case began in 2008.,been deaths from other years but the OCME investigation of the case began in 2008.,,
,Many of the OCME’s retrospective cases are accidents (69.5%).,Many of the OCME’s retrospective cases are accidents (69.5%).,,
,Most common unreported type of death is due to a fall (34.3%) followed by motor vehicle collisions,Most common unreported type of death is due to a fall (34.3%) followed by motor vehicle collisions,Most common unreported type of death is due to a fall (34.3%) followed by motor vehicle collisions,Most common unreported type of death is due to a fall (34.3%) followed by motor vehicle collisions
,(22.5%).,,,
,,"Figure 98. Proportion of Retrospective Cases by Manner of Death, 2008",,
,,Undetermined,,
,,Suicide,,
,,3%,,
,,3%,,
,Natural,,Accident,
,24%,,70%,
Virginia Department of Health,Virginia Department of Health,Office of the Chief Medical Examiner,November 2009,November 2009
