Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”,Name: “Table 1 of 1 on page 28 of 162”
Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28,Table: 28
,,,,,,,,,,,,
,,,,,,,,,,,P a g e,| 26
,,"Table 8. Total Cases by Manner by City/County of Residence, 2008","Table 8. Total Cases by Manner by City/County of Residence, 2008","Table 8. Total Cases by Manner by City/County of Residence, 2008","Table 8. Total Cases by Manner by City/County of Residence, 2008","Table 8. Total Cases by Manner by City/County of Residence, 2008","Table 8. Total Cases by Manner by City/County of Residence, 2008","Table 8. Total Cases by Manner by City/County of Residence, 2008","Table 8. Total Cases by Manner by City/County of Residence, 2008",,,
,,,,,Manner of Death,Manner of Death,,,,,,
County/City of,Accident,Accident,Homicide,Homicide,Natural,Natural,Suicide,Suicide,Undetermined,Undetermined,,Total
Residence,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate,Total,Rate
Accomack,8,21.0,3,7.9,14,36.7,1,2.6,0,0.0,26,68.1
Albemarle,27,28.7,1,1.1,15,15.9,8,8.5,3,3.2,54,57.4
Alexandria,19,13.2,5,3.5,34,23.6,11,7.6,0,0.0,69,48.0
Alleghany,8,49.4,1,6.2,5,30.9,0,0.0,0,0.0,14,86.4
Amelia,10,78.1,1,7.8,3,23.4,2,15.6,0,0.0,16,124.9
Amherst,14,43.0,1,3.1,18,55.3,5,15.4,3,9.2,41,126.0
Appomattox,8,55.2,1,6.9,1,6.9,0,0.0,0,0.0,10,69.0
Arlington,22,10.5,4,1.9,42,20.0,26,12.4,1,0.5,95,45.2
Augusta,31,43.5,3,4.2,11,15.4,13,18.2,0,0.0,58,81.4
Bath,0,0.0,1,22.0,2,44.0,0,0.0,0,0.0,3,66.0
Bedford City,4,63.4,1,15.8,5,79.2,3,47.5,0,0.0,13,206.0
Bedford,14,20.9,2,3.0,22,32.9,9,13.5,1,1.5,48,71.8
Bland,3,43.4,0,0.0,3,43.4,0,0.0,0,0.0,6,86.7
Botetourt,8,24.8,1,3.1,8,24.8,3,9.3,1,3.1,21,65.1
Bristol,2,11.5,0,0.0,7,40.2,1,5.7,0,0.0,10,57.4
Brunswick,5,28.4,3,17.1,4,22.8,1,5.7,0,0.0,13,73.9
Buchanan,19,80.8,2,8.5,5,21.3,6,25.5,0,0.0,32,136.0
Buckingham,5,31.3,0,0.0,3,18.8,6,37.6,0,0.0,14,87.6
Buena Vista,1,15.5,0,0.0,1,15.5,2,30.9,0,0.0,4,61.8
Campbell,28,52.8,3,5.7,15,28.3,8,15.1,1,1.9,55,103.7
Caroline,12,43.4,0,0.0,7,25.3,3,10.9,0,0.0,22,79.6
Carroll,13,44.6,0,0.0,6,20.6,7,24.0,0,0.0,26,89.2
Charles City,4,55.5,1,13.9,3,41.6,2,27.7,0,0.0,10,138.7
Charlotte,10,81.6,0,0.0,5,40.8,1,8.2,0,0.0,16,130.6
Charlottesville,7,16.9,4,9.6,11,26.5,5,12.1,0,0.0,27,65.1
Chesapeake,49,22.3,12,5.5,55,25.0,21,9.5,8,3.6,145,65.9
Chesterfield,88,29.0,12,4.0,57,18.8,30,9.9,2,0.7,189,62.3
Clarke,2,13.8,0,0.0,1,6.9,2,13.8,1,6.9,6,41.5
Virginia Department of Health,,,,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,,November 2009,November 2009
