Name: “Table 1 of 1 on page 45 of 162”,Name: “Table 1 of 1 on page 45 of 162”,Name: “Table 1 of 1 on page 45 of 162”,Name: “Table 1 of 1 on page 45 of 162”,Name: “Table 1 of 1 on page 45 of 162”
Table: 45,Table: 45,Table: 45,Table: 45,Table: 45
,,,,
,,,P a g e,| 43
Continued,,51,22,
Trunk,,,,
Extremeties,,129,20,
Multiple,,439,80,
Penetrating Injuries,,92,86,
Incised,,26,22,
Stab,,64,63,
Other Penetrating Injuries,Other Penetrating Injuries,2,1,
Substance Abuse,,753,585,
Ethanol Poisoning,,23,18,
Prescription Drug Poisoning,Prescription Drug Poisoning,451,352,
Illegal (Street) Drug Poisoning,Illegal (Street) Drug Poisoning,139,117,
CO Poisoning (Excludes Fires),CO Poisoning (Excludes Fires),18,7,
Mixed Category Drug Poisoning,Mixed Category Drug Poisoning,85,69,
Inhalant Poisoning,,7,6,
OTC Poisoning,,12,5,
Ethylene Glycol Poisoning,Ethylene Glycol Poisoning,5,5,
Not Otherwise Specified Poisoning,Not Otherwise Specified Poisoning,8,4,
"Other Poisons (Heavy Metals, etc.)","Other Poisons (Heavy Metals, etc.)",5,2,
Other Unnatural Deaths,,16,12,
Other Unnatural,,16,12,
Unnatural Subtotal,,3698,2052,
Undetermined Deaths,Undetermined Deaths,Total Cases,Autopsied,
Undetermined After Autopsy and/or Investigation,Undetermined After Autopsy and/or Investigation,86,86,
Sudden Unexpected Infant Death (SUID),Sudden Unexpected Infant Death (SUID),55,55,
Skeletal/Mummified Remains,Skeletal/Mummified Remains,7,7,
Other Undetermined,,24,24,
Undetermined Subtotal,,86,86,
TOTAL,,5811,2819,
Virginia Department of Health,Office of the Chief Medical Examiner,,November 2009,November 2009
