Name: “Table 1 of 1 on page 91 of 162”,Name: “Table 1 of 1 on page 91 of 162”,Name: “Table 1 of 1 on page 91 of 162”,Name: “Table 1 of 1 on page 91 of 162”,Name: “Table 1 of 1 on page 91 of 162”
Table: 91,Table: 91,Table: 91,Table: 91,Table: 91
,,,,
,,,P a g e,| 89
,"Table 26. Accidental Deaths of Children by Method of Death, 2008","Table 26. Accidental Deaths of Children by Method of Death, 2008",,
Method of Death,,Total Cases,Autopsied,
Asphyxia,,,,
Choked on food/foreign object,,1,1,
Drowned,,13,7,
Hanging,,1,1,
Mechanical/Positional,,12,12,
Suffocated/Smothering,,11,11,
Drug Use,,,,
"Ingested and/or injected illicit, prescription, and/or OTC medication","Ingested and/or injected illicit, prescription, and/or OTC medication",5,5,
Exposure,,,,
Exposed to cold,,1,1,
Exposed to heat,,3,3,
Fall,,,,
Fall from any height,,4,2,
Fire,,,,
Smoke inhalation,,1,0,
Victim of fire/burns,,5,5,
Motor Vehicle,,,,
Aircraft,,1,1,
All Terrain Vehicle,,4,0,
Bicycle,,2,0,
Car,,47,3,
Pickup Truck,,13,0,
Sport Utility Vehicle,,13,4,
Train,,1,0,
Truck Other,,1,0,
Unknown,,2,1,
Van,,3,0,
Poisoned,,,,
Other (Eg. Ethylene glycol),,1,0,
Traumatic Injury,,,,
Accidental discharge of firearm,,4,4,
Rifle,,(2),(2),
Shotgun,,(2),(2),
Falling Object,,2,0,
Other,,1,1,
Total,,152,62,
Virginia Department of Health,Office of the Chief Medical Examiner,,,November 2009
