Name: “Table 1 of 1 on page 105 of 162”,Name: “Table 1 of 1 on page 105 of 162”,Name: “Table 1 of 1 on page 105 of 162”,Name: “Table 1 of 1 on page 105 of 162”,Name: “Table 1 of 1 on page 105 of 162”
Table: 105,Table: 105,Table: 105,Table: 105,Table: 105
,,,,
,,,P a g e,| 103
Continued,,Ethanol ≥0.01% W/V,Ethanol ≥0.01% W/V,
,Total Cases,Yes,No,
Cardiovascular Diseases/Disorders,1354,217,1137,
Atherosclerosis,788,108,680,
Hypertension,150,41,109,
Atherosclerosis & Hypertension,177,29,148,
Congenital Defect,5,0,5,
Vascular Dissection/Ruptures,6,0,6,
Valvular,8,1,7,
Acute Coronary Insufficiency,138,26,112,
Other Cardiac Disease/Disorder,82,12,70,
Gastrointestinal Diseases/Disorders,229,81,148,
GI Hemorrhage,38,12,26,
Cirrhosis,19,6,13,
Chronic Ethanolism,116,60,56,
Hepatitis,7,1,6,
GI Malignancy,20,0,20,
Other GI Disease/Disorder,29,2,27,
Genitourinal Diseases/Disorders,9,1,8,
Renal Disease,5,1,4,
Genitourinal Malignancy,4,0,4,
Perinatal and Pediatric Diseases/Disorders,30,0,30,
Maternal Complications,4,0,4,
Fetal Complications,4,0,4,
Sudden Infant Death Syndrome (SIDS),22,0,22,
Systemic Diseases/Disorders,114,17,97,
Blood Disorders,6,0,6,
Diabetes,42,7,35,
AIDS/HIV,11,2,9,
Sepsis,24,5,19,
Other Infectious Disease,6,1,5,
Metastatic Malignancy Unknown Primary,9,1,8,
Other Systemic Disease/Disorder,16,1,15,
Other Natural Diseases/Disorders,29,2,27,
Other Malignancy,5,0,5,
Other Natural Disease/Disorder,24,2,22,
Natural Subtotal,2027,335,1692,
Unnatural Deaths,Total Cases,Yes,No,
Asphyxia,402,104,298,
Choking (Aspiration: Food or Foreign Object),37,3,34,
Drowning,99,36,63,
Hanging,185,53,132,
Mechanical,30,5,25,
Virginia Department of Health,Office of the Chief Medical Examiner,,November 2009,November 2009
