Name: “Table 1 of 1 on page 35 of 162”,Name: “Table 1 of 1 on page 35 of 162”,Name: “Table 1 of 1 on page 35 of 162”,Name: “Table 1 of 1 on page 35 of 162”,Name: “Table 1 of 1 on page 35 of 162”,Name: “Table 1 of 1 on page 35 of 162”,Name: “Table 1 of 1 on page 35 of 162”,Name: “Table 1 of 1 on page 35 of 162”
Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35,Table: 35
,,,,,,,
,,,,,,P a g e,| 33
Table 9. Total Cases by City/County of Injury/Acute Illness,Table 9. Total Cases by City/County of Injury/Acute Illness,Table 9. Total Cases by City/County of Injury/Acute Illness,Table 9. Total Cases by City/County of Injury/Acute Illness,Table 9. Total Cases by City/County of Injury/Acute Illness,Table 9. Total Cases by City/County of Injury/Acute Illness,,
,,,Manner of Death,Manner of Death,,,
,Accident,Homicide,Natural,Suicide,Undetermined,,
County/City of Injury/Illness,Total,Total,Total,Total,Total,Total,
Accomack,11,2,17,1,1,32,
Albemarle,33,2,16,8,3,62,
Alexandria,21,4,48,13,0,86,
Alleghany,8,1,4,0,0,13,
Amelia,11,0,3,1,0,15,
Amherst,16,1,18,6,3,44,
Appomattox,7,1,0,0,0,8,
Arlington,30,4,44,28,1,107,
Augusta,38,0,12,13,0,63,
Bath,1,0,3,1,0,5,
Bedford City,5,1,4,1,0,11,
Bedford,16,0,19,9,1,45,
Bland,2,0,3,0,0,5,
Botetourt,13,0,9,3,1,26,
Bristol,3,0,6,1,1,11,
Brunswick,6,2,5,1,0,14,
Buchanan,19,2,4,7,0,32,
Buckingham,6,0,4,5,0,15,
Buena Vista,1,0,1,1,0,3,
Campbell,31,2,12,7,2,54,
Caroline,8,0,16,3,1,28,
Carroll,19,1,9,6,0,35,
Charles City,7,1,2,2,0,12,
Charlotte,6,2,3,1,0,12,
Charlottesville,11,5,11,5,1,33,
Chesapeake,47,12,54,18,8,139,
Chesterfield,92,12,58,32,1,195,
Clarke,5,1,2,3,1,12,
Colonial Heights,4,0,7,3,1,15,
Covington,2,0,2,1,1,6,
Craig,2,1,1,2,0,6,
Culpeper,12,0,19,2,1,34,
Cumberland,4,0,2,2,0,8,
Danville,22,10,14,4,2,52,
Dickenson,13,1,3,5,0,22,
Dinwiddie,20,1,11,1,1,34,
Emporia,2,1,3,2,0,8,
Essex,4,0,0,3,0,7,
Fairfax City,5,1,7,1,0,14,
Fairfax,144,25,161,88,5,423,
Falls Church,0,0,2,3,1,6,
Fauquier,26,1,17,8,1,53,
Floyd,5,2,8,1,0,16,
Fluvanna,14,1,8,4,0,27,
Franklin City,1,0,1,0,0,2,
Franklin,23,1,20,6,3,53,
Frederick,26,2,21,7,3,59,
Virginia Department of Health,,Office of the Chief Medical Examiner,Office of the Chief Medical Examiner,,,November 2009,November 2009
