Name: “Table 1 of 1 on page 151 of 162”,Name: “Table 1 of 1 on page 151 of 162”,Name: “Table 1 of 1 on page 151 of 162”,Name: “Table 1 of 1 on page 151 of 162”,Name: “Table 1 of 1 on page 151 of 162”
Table: 151,Table: 151,Table: 151,Table: 151,Table: 151
,,,,
,,,P a g e,| 149
"Table 51. Total Prisoner Deaths by Cause of Death, 2008","Table 51. Total Prisoner Deaths by Cause of Death, 2008","Table 51. Total Prisoner Deaths by Cause of Death, 2008",,
Natural Deaths,Natural Deaths,Total Cases,Autopsied,
Pulmonary Diseases/Disorders,Pulmonary Diseases/Disorders,21,11,
Asthma,,2,1,
COPD,,2,1,
Pneumonia,,10,5,
Pulmonary Malignancy,Pulmonary Malignancy,6,3,
Other Pulmonary Disease/Disorder,Other Pulmonary Disease/Disorder,1,1,
Central Nervous System Diseases/Disorders,Central Nervous System Diseases/Disorders,16,9,
Seizure Disorder,Seizure Disorder,1,1,
Vascular Disease,Vascular Disease,6,2,
Degenerative Disease,Degenerative Disease,1,1,
Meningitis (Bacterial or Viral),Meningitis (Bacterial or Viral),1,1,
CNS Malignancy,CNS Malignancy,3,1,
Other CNS Disease/Disorder,Other CNS Disease/Disorder,4,3,
Cardiovascular Diseases/Disorders,Cardiovascular Diseases/Disorders,37,32,
Atherosclerosis,Atherosclerosis,15,11,
Hypertension,,2,2,
Atherosclerosis & Hypertension,Atherosclerosis & Hypertension,14,13,
Valvular,,1,1,
Other Cardiac Disease/Disorder,Other Cardiac Disease/Disorder,5,5,
Gastrointestinal Diseases/Disorders,Gastrointestinal Diseases/Disorders,32,17,
GI Hemorrhage,GI Hemorrhage,4,2,
Cirrhosis,,7,4,
Hepatitis,,5,2,
GI Malignancy,GI Malignancy,11,6,
Other GI Disease/Disorder,Other GI Disease/Disorder,5,3,
Genitourinal Diseases/Disorders,Genitourinal Diseases/Disorders,3,3,
Renal Disease,,1,1,
Genitourinal Malignancy,Genitourinal Malignancy,2,2,
Systemic Diseases/Disorders,Systemic Diseases/Disorders,18,11,
Blood Disorders,Blood Disorders,4,2,
Diabetes,,1,1,
AIDS/HIV,,7,4,
Sepsis,,2,1,
Metastatic Malignancy Unknown Primary,Metastatic Malignancy Unknown Primary,3,2,
Other Systemic Disease/Disorder,Other Systemic Disease/Disorder,1,1,
Other Natural Diseases/Disorders,Other Natural Diseases/Disorders,1,1,
Other Natural Disease/Disorder,Other Natural Disease/Disorder,1,1,
Natural Subtotal,,128,84,
Virginia Department of Health,Office of the Chief Medical Examiner,,,November 2009
